id_cliente,segmento,region,apr_efectiva
C100000,Premium,RM,0.3079351683906006
C100001,Mass,RM,0.3088328103464687
C100002,Jóvenes,RM,0.4345908405669283
C100003,Mass,RM,0.3475011370205437
C100004,Gold,RM,0.29959853915892076
C100005,Gold,II,0.2762316718172269
C100006,Mass,II,0.22492708391047034
C100007,Mass,X,0.316747451177082
C100008,Jóvenes,X,0.2309056271613467
C100009,Mass,VIII,0.31867794251426634
C100010,Mass,II,0.2885643192929234
C100011,Mass,RM,0.14932723911297416
C100012,Premium,IV,0.2630028141346561
C100013,Mass,X,0.2840882062685119
C100014,Premium,V,0.3473970903997886
C100015,Gold,RM,0.29710500406311063
C100016,Mass,II,0.28366796273032446
C100017,Jóvenes,II,0.256081825016411
C100018,Gold,II,0.36168020998064687
C100019,Gold,IV,0.23973334322239745
C100020,Mass,RM,0.23171095676449777
C100021,Jóvenes,II,0.32365372816828464
C100022,Mass,VIII,0.3612344600326249
C100023,Premium,V,0.19540591421220843
C100024,Jóvenes,X,0.26866296833551756
C100025,Jóvenes,II,0.33211990541310354
C100026,Gold,X,0.326036874524774
C100027,Mass,X,0.26343761193773557
C100028,Gold,IV,0.1904071983479651
C100029,Premium,V,0.2675576084241402
C100030,Gold,II,0.33811284248500095
C100031,Jóvenes,IV,0.24803430969366486
C100032,Mass,X,0.3761944874684333
C100033,Mass,X,0.3318816994730543
C100034,Premium,IV,0.39640739554646953
C100035,Gold,RM,0.37002718468656737
C100036,Mass,IV,0.3084627272020298
C100037,Mass,II,0.22637720364534675
C100038,Jóvenes,VIII,0.31304800834387453
C100039,Gold,X,0.24384097460596332
C100040,Jóvenes,IV,0.2691265571343488
C100041,Mass,RM,0.24083470756399417
C100042,Mass,X,0.29130101515997636
C100043,Mass,X,0.27042691816892794
C100044,Mass,VIII,0.2674682425564996
C100045,Mass,RM,0.20676854429721286
C100046,Gold,V,0.2584822802465973
C100047,Gold,RM,0.1878964344642982
C100048,Premium,V,0.2971707318946636
C100049,Mass,VIII,0.3028662486966032
C100050,Mass,II,0.31841871149888223
C100051,Mass,VIII,0.23558346037035693
C100052,Premium,II,0.23618175170239428
C100053,Gold,X,0.3949955845262735
C100054,Premium,IV,0.4072302101220202
C100055,Jóvenes,II,0.13708125205315466
C100056,Jóvenes,X,0.26552505274085114
C100057,Gold,VIII,0.25349825637148043
C100058,Jóvenes,IV,0.32098232497901513
C100059,Mass,V,0.3314212659871468
C100060,Gold,VIII,0.1644369784529068
C100061,Mass,VIII,0.26794406990490427
C100062,Gold,V,0.25368967646398555
C100063,Jóvenes,V,0.21337840801333066
C100064,Mass,VIII,0.2325842389032839
C100065,Jóvenes,X,0.22526288443404546
C100066,Jóvenes,X,0.39696111990032545
C100067,Gold,IV,0.3395086927096759
C100068,Mass,II,0.31785010385947854
C100069,Mass,IV,0.2940585494625789
C100070,Mass,X,0.3458476889629753
C100071,Gold,II,0.3536898905858193
C100072,Mass,RM,0.15802260700894616
C100073,Mass,X,0.3042426053075369
C100074,Mass,RM,0.3088573729497344
C100075,Gold,V,0.3298787096759804
C100076,Premium,IV,0.33427469308548746
C100077,Mass,V,0.32530366405438216
C100078,Premium,VIII,0.2588250306932555
C100079,Gold,VIII,0.22880237036652626
C100080,Mass,V,0.3028276003343534
C100081,Premium,IV,0.3157813764591678
C100082,Gold,II,0.30304896281481924
C100083,Mass,IV,0.24468133639804285
C100084,Gold,VIII,0.13491013233807236
C100085,Gold,X,0.29952600917497
C100086,Premium,RM,0.2116020907850027
C100087,Premium,X,0.28770343994110265
C100088,Premium,V,0.3440675846781928
C100089,Gold,X,0.24792937928827935
C100090,Premium,IV,0.29572681768364534
C100091,Premium,VIII,0.2387878489949007
C100092,Mass,V,0.2711018349162487
C100093,Mass,RM,0.2506588069629962
C100094,Mass,RM,0.3697710910819957
C100095,Premium,VIII,0.3776600907761806
C100096,Gold,X,0.3139249600778513
C100097,Mass,V,0.22414435311804812
C100098,Gold,X,0.3108587167856156
C100099,Mass,II,0.3329518851892562
C100100,Gold,II,0.27773926910048613
C100101,Gold,IV,0.22490814303648762
C100102,Mass,VIII,0.22816966922666482
C100103,Gold,V,0.23548612178843012
C100104,Premium,X,0.2617661264578885
C100105,Jóvenes,II,0.2465476025038401
C100106,Jóvenes,X,0.33854488382817527
C100107,Premium,VIII,0.2736258663756713
C100108,Premium,V,0.2693748374795363
C100109,Gold,VIII,0.28096952784078255
C100110,Mass,II,0.3090153813950913
C100111,Mass,X,0.3494732255203568
C100112,Mass,X,0.21991282958929556
C100113,Gold,X,0.22121638278621933
C100114,Mass,VIII,0.287418308282164
C100115,Gold,RM,0.33774635987716195
C100116,Gold,X,0.21591774029490934
C100117,Gold,IV,0.3650501135423836
C100118,Jóvenes,II,0.20527333206376963
C100119,Premium,V,0.3257573329332915
C100120,Premium,II,0.28619037942370545
C100121,Mass,II,0.20386113169559397
C100122,Mass,IV,0.28856002033664857
C100123,Premium,RM,0.26464574978555977
C100124,Mass,II,0.21364724625046289
C100125,Gold,V,0.2779090962338355
C100126,Gold,RM,0.3133099574615785
C100127,Gold,II,0.3307152155685368
C100128,Premium,V,0.24175005602497718
C100129,Jóvenes,VIII,0.205988862328087
C100130,Gold,V,0.34982165286725897
C100131,Mass,II,0.32803754553630254
C100132,Premium,IV,0.3301910835062646
