id_cliente,id_cuenta,tipo
C100000,C100000-T1,TC
C100001,C100001-T1,TC
C100001,C100001-T2,TC
C100001,C100001-T3,TC
C100002,C100002-T1,TC
C100003,C100003-T1,TC
C100003,C100003-T2,TC
C100004,C100004-T1,TC
C100004,C100004-T2,TC
C100005,C100005-T1,TC
C100005,C100005-T2,TC
C100006,C100006-T1,TC
C100006,C100006-T2,TC
C100007,C100007-T1,TC
C100007,C100007-T2,TC
C100008,C100008-T1,TC
C100008,C100008-T2,TC
C100008,C100008-T3,TC
C100009,C100009-T1,TC
C100010,C100010-T1,TC
C100011,C100011-T1,TC
C100011,C100011-T2,TC
C100012,C100012-T1,TC
C100013,C100013-T1,TC
C100013,C100013-T2,TC
C100014,C100014-T1,TC
C100015,C100015-T1,TC
C100015,C100015-T2,TC
C100015,C100015-T3,TC
C100016,C100016-T1,TC
C100017,C100017-T1,TC
C100018,C100018-T1,TC
C100018,C100018-T2,TC
C100018,C100018-T3,TC
C100019,C100019-T1,TC
C100020,C100020-T1,TC
C100020,C100020-T2,TC
C100021,C100021-T1,TC
C100022,C100022-T1,TC
C100022,C100022-T2,TC
C100023,C100023-T1,TC
C100023,C100023-T2,TC
C100024,C100024-T1,TC
C100025,C100025-T1,TC
C100026,C100026-T1,TC
C100026,C100026-T2,TC
C100026,C100026-T3,TC
C100027,C100027-T1,TC
C100028,C100028-T1,TC
C100029,C100029-T1,TC
C100030,C100030-T1,TC
C100031,C100031-T1,TC
C100032,C100032-T1,TC
C100032,C100032-T2,TC
C100032,C100032-T3,TC
C100033,C100033-T1,TC
C100033,C100033-T2,TC
C100033,C100033-T3,TC
C100034,C100034-T1,TC
C100035,C100035-T1,TC
C100036,C100036-T1,TC
C100037,C100037-T1,TC
C100037,C100037-T2,TC
C100037,C100037-T3,TC
C100038,C100038-T1,TC
C100039,C100039-T1,TC
C100040,C100040-T1,TC
C100041,C100041-T1,TC
C100041,C100041-T2,TC
C100042,C100042-T1,TC
C100043,C100043-T1,TC
C100043,C100043-T2,TC
C100044,C100044-T1,TC
C100044,C100044-T2,TC
C100044,C100044-T3,TC
C100045,C100045-T1,TC
C100046,C100046-T1,TC
C100047,C100047-T1,TC
C100048,C100048-T1,TC
C100049,C100049-T1,TC
C100050,C100050-T1,TC
C100050,C100050-T2,TC
C100051,C100051-T1,TC
C100051,C100051-T2,TC
C100052,C100052-T1,TC
C100053,C100053-T1,TC
C100054,C100054-T1,TC
C100055,C100055-T1,TC
C100055,C100055-T2,TC
C100056,C100056-T1,TC
C100057,C100057-T1,TC
C100057,C100057-T2,TC
C100057,C100057-T3,TC
C100058,C100058-T1,TC
C100058,C100058-T2,TC
C100058,C100058-T3,TC
C100059,C100059-T1,TC
C100060,C100060-T1,TC
C100060,C100060-T2,TC
C100061,C100061-T1,TC
C100062,C100062-T1,TC
C100062,C100062-T2,TC
C100063,C100063-T1,TC
C100064,C100064-T1,TC
C100064,C100064-T2,TC
C100065,C100065-T1,TC
C100065,C100065-T2,TC
C100066,C100066-T1,TC
C100067,C100067-T1,TC
C100068,C100068-T1,TC
C100068,C100068-T2,TC
C100069,C100069-T1,TC
C100069,C100069-T2,TC
C100070,C100070-T1,TC
C100070,C100070-T2,TC
C100071,C100071-T1,TC
C100072,C100072-T1,TC
C100072,C100072-T2,TC
C100072,C100072-T3,TC
C100073,C100073-T1,TC
C100074,C100074-T1,TC
C100075,C100075-T1,TC
C100076,C100076-T1,TC
C100077,C100077-T1,TC
C100078,C100078-T1,TC
C100079,C100079-T1,TC
C100080,C100080-T1,TC
C100081,C100081-T1,TC
C100081,C100081-T2,TC
C100082,C100082-T1,TC
C100083,C100083-T1,TC
C100083,C100083-T2,TC
