id_cliente,ead_baseline
C100000,930480.5828383217
C100001,2058811.1937426778
C100002,433118.58279882296
C100003,1405802.4918870851
C100004,779628.7354632034
C100005,1969357.1567321257
C100006,678955.2750400202
C100007,1087999.6321072632
C100008,2415717.592193187
C100009,400031.09140381485
C100010,738708.4253924183
C100011,884950.7936181864
C100012,913302.5848592349
C100013,889758.7226130338
C100014,803287.732201104
C100015,2003016.4289867869
C100016,312406.70896879997
C100017,363291.1697439651
C100018,2185326.6872012885
C100019,766740.4928338355
C100020,772912.2449414512
C100021,1478858.520345845
C100022,934905.2803963221
C100023,1014206.3361820409
C100024,318184.75711045496
C100025,447866.5411470324
C100026,1265790.6367927855
C100027,164547.2203184166
C100028,576022.1487332105
C100029,791780.6820678653
C100030,576701.8740714978
C100031,1268837.499711504
C100032,1088830.4697830458
C100033,2779468.614940761
C100034,557265.5518618514
C100035,758603.256136096
C100036,525829.2817198564
C100037,852699.8513090964
C100038,637617.4946057474
C100039,370173.55970593344
C100040,296845.97884370026
C100041,1418657.2564499844
C100042,260503.46964311742
C100043,2012049.6470429925
C100044,2783418.84091515
C100045,532973.8073051723
C100046,123446.8653831784
C100047,755192.6851117561
C100048,1003203.0656639481
C100049,618930.983261169
C100050,1935133.515026081
C100051,1526959.784678954
C100052,356094.55754793715
C100053,1250959.6005894877
C100054,358169.06326278736
C100055,2162661.303758448
C100056,224899.4697883188
C100057,1982611.42913079
C100058,1165509.3941679194
C100059,699967.0978885423
C100060,1549729.6947698959
C100061,291334.1889888903
C100062,1246015.4147772295
C100063,929791.7360694626
C100064,1092111.9878295786
C100065,1368834.428004872
C100066,648075.4261001227
C100067,1113108.6040940487
C100068,1426945.9006870873
C100069,873895.4253361097
C100070,1410329.6601538444
C100071,344062.2186867544
C100072,3266169.751165971
C100073,714849.1420704848
C100074,132168.43681929377
C100075,1058281.8820050713
C100076,727718.0231300106
C100077,584465.9335562779
C100078,684950.8972475952
C100079,143470.97765726794
C100080,891756.0604109545
C100081,789398.9020702541
C100082,1321905.8092905981
C100083,1803641.734863076
C100084,804945.4957492126
C100085,529997.986639667
C100086,1220392.5781815688
C100087,1705609.775740778
C100088,862304.6524680916
C100089,639564.7989501297
C100090,75141.45011739855
C100091,2716630.194306816
C100092,1702629.7147889908
C100093,2112414.8901048945
C100094,448020.1662519269
C100095,267961.6605526882
C100096,620674.81559372
C100097,772847.3873871256
C100098,479971.8003545913
C100099,671812.1920940821
C100100,1217582.2585327653
C100101,457512.7732421225
C100102,390020.2659921894
C100103,715244.3296275934
C100104,1185812.0617599988
C100105,625788.9944196058
C100106,738232.1249973478
C100107,204119.0368949062
C100108,800742.827506812
C100109,341359.02927630534
C100110,96183.3051152982
C100111,904156.0341822444
C100112,250532.42991518843
C100113,1081122.6182094067
C100114,788051.9038741809
C100115,1404092.5202259617
C100116,507349.8743594269
C100117,211371.16817892322
C100118,1997518.9757984693
C100119,151796.14502889733
C100120,267934.50904351095
C100121,563022.6561940381
C100122,601312.5511482828
C100123,276082.0467250104
C100124,1349375.609727795
C100125,798214.146868691
C100126,1789410.3760155635
C100127,641363.2692176207
C100128,1464780.5070026326
C100129,649035.3465231832
C100130,813419.5486626736
C100131,1057110.3597137833
C100132,388954.4664622424
C100133,496676.9188681424
C100134,645588.6301604388
C100135,191527.8000037221
C100136,2476811.7286922666
C100137,724045.1424573939
C100138,407043.9037434486
C100139,485718.40544535295
C100140,356327.36499191547
C100141,599095.3978275075
C100142,1595786.364778821
C100143,807471.1624014007
C100144,428769.2037982447
C100145,518799.69950016297
C100146,1164386.8278308422
C100147,217277.0712275582
C100148,415390.10059051565
C100149,179335.8017389761
C100150,10280.489366365293
C100151,940455.2905692952
C100152,2341358.3932749927
C100153,1678232.3604596436
C100154,696013.530411309
C100155,1254711.2520765655
C100156,1109171.7354532187
C100157,879048.21318424
C100158,799250.5811595374
C100159,1402277.4047562126
C100160,2511133.8115663086
C100161,1687102.276141238
C100162,1050264.4138812458
C100163,793423.620985131
C100164,351831.0511581222
C100165,192841.7019287497
C100166,1145227.0123401822
C100167,608398.0694288053
C100168,1848699.4825473002
C100169,823027.198583451
C100170,881593.5973985584
C100171,1916155.7241670038
C100172,1944851.2759162956
C100173,1016001.7601195218
C100174,304332.8745446756
C100175,337706.32574706926
C100176,902554.127416377
C100177,1830798.3492462183
C100178,270246.6913479125
C100179,274528.88493473944
C100180,1486065.4008489042
C100181,1747025.5013744677
C100182,1484188.2158191304
C100183,651974.9998263662
C100184,398148.492752318
C100185,1494667.7518721465
C100186,1129646.3752545805
C100187,1681872.1880995417
C100188,1297470.1274774163
C100189,476439.3363020028
C100190,825750.8881226543
C100191,1399074.119387967
C100192,55599.31965428317
C100193,661138.1641658469
C100194,774766.4996859654
C100195,911520.0032342005
C100196,625247.6224151285
C100197,194285.29307829164
C100198,786072.9445813934
C100199,258037.38836576723
C100200,612882.0590434439
C100201,521408.5080644705
C100202,169425.59290992012
C100203,98103.20714483366
C100204,855155.9965858243
C100205,254602.29384291882
C100206,1348101.8737031056
C100207,845630.8885500582
C100208,356061.3896661622
C100209,349128.9433711286
C100210,1658087.5635549375
C100211,852329.3176890909
C100212,2028400.491279394
C100213,379302.2822959437
C100214,1775946.079705865
C100215,295953.2288825299
C100216,610048.4651803114
C100217,2926828.7258340144
C100218,516757.4325930424
C100219,1512259.0708942483
C100220,659084.637195522
C100221,656906.8654192444
C100222,1902599.7510312896
C100223,969614.7612639184
C100224,57638.66959305721
C100225,58254.80914324784
C100226,983988.569076499
C100227,1202886.6404579333
C100228,1399429.5281192078
C100229,1025456.5787349789
C100230,2061690.0856375908
C100231,377264.2463315687
C100232,444949.0540195361
C100233,2824634.533797466
C100234,32807.718069621274
C100235,1079746.789138109
C100236,647260.9065913948
C100237,1073001.8354032484
C100238,967367.3565218212
C100239,49917.66174347695
C100240,1235526.134222515
C100241,1730836.4818183878
C100242,1655531.607493781
C100243,1275974.1088383754
C100244,927724.3115490985
C100245,944724.7233568158
C100246,423058.5397291527
C100247,550605.6247283752
C100248,386463.07902483933
C100249,882154.1104202773
C100250,457766.2233387808
C100251,650192.5170815475
C100252,254828.928205389
C100253,1135231.59829724
C100254,84638.74675613454
C100255,639174.0601999689
C100256,129641.69668650869
C100257,1621700.141385675
C100258,2001578.7426329334
C100259,2212232.4473745627
C100260,628150.4074543468
C100261,1742856.1586549683
C100262,238218.13224396767
C100263,1089924.336793892
C100264,1363412.319803129
C100265,486123.1153296885
C100266,807773.6064226236
C100267,741740.7067885213
C100268,193838.90326087148
C100269,1704129.6590428734
C100270,1065402.1435405712
C100271,746656.8401747621
C100272,1297520.417957904
C100273,62020.80067580337
C100274,468697.28473985806
C100275,705.0077261150147
C100276,629686.0596999109
C100277,1255894.1800889794
C100278,1227772.530418167
C100279,1607948.785410223
C100280,131546.85317069004
C100281,203936.27096669795
C100282,248711.74904070515
C100283,140273.0878288869
C100284,617449.2806850316
C100285,420604.6217900321
C100286,133738.77410118413
C100287,2905345.247001423
C100288,708582.8378876331
C100289,736363.1795727778
C100290,581019.6969119025
C100291,1059985.6209093002
C100292,859073.6788513752
C100293,1187663.6151845083
C100294,472929.31586241734
C100295,1054916.1970122182
C100296,1240309.1071383553
C100297,1051010.3933522091
C100298,1113780.02870775
C100299,417827.93284898927
C100300,409983.51694187813
C100301,857153.4605953706
C100302,624403.3131705594
C100303,280234.06831837445
C100304,591578.0202112428
C100305,1066246.4713915018
C100306,482616.88053511747
C100307,279826.15644606005
C100308,771937.8462746723
C100309,1641015.5037071141
C100310,585571.3842700415
C100311,1755737.7978626834
C100312,770467.9536532429
C100313,685595.8727884714
C100314,745931.9269856196
C100315,902780.8017461144
C100316,764961.9586946496
C100317,1728315.9408788763
C100318,1176040.8614210011
C100319,946478.684081834
C100320,681859.8114166543
C100321,1277326.1063368442
C100322,847689.3277216408
C100323,553055.4370125412
C100324,308668.8638693894
C100325,1590035.375178391
C100326,250380.299905858
C100327,1082395.7167538914
C100328,1926083.5910660203
C100329,1535370.4030654924
C100330,991582.6026654452
C100331,1584790.3672840395
C100332,237939.33475427303
C100333,1536181.1445487104
C100334,212662.8578541709
C100335,1852004.161688862
C100336,1761154.195186097
C100337,1776287.599858345
C100338,694547.52833174
C100339,620277.5879600149
C100340,931420.8317526652
C100341,1088254.6457620517
C100342,371705.6910293567
C100343,399317.5576332877
C100344,945828.5394884939
C100345,1976088.6275737619
C100346,1067792.1828700725
C100347,7789.582719311664
C100348,1278729.0539440662
C100349,538226.5140579157
C100350,1087559.7575815783
C100351,1747627.7015635727
C100352,988490.1558662707
C100353,1405631.8265439617
C100354,506753.38326673955
C100355,948824.4704901582
C100356,626438.0071749929
C100357,1212264.2882341645
C100358,377345.70442769525
C100359,1398921.9494374178
C100360,732959.9461005831
C100361,608729.1166745193
C100362,942206.614732979
C100363,680236.9679593404
C100364,981207.9564831002
C100365,2669747.863434514
C100366,60354.83332968305
C100367,658487.1059778138
C100368,425909.0081239844
C100369,12015.525444756797
C100370,1432012.4867932403
C100371,151000.19662563503
C100372,2706288.913504047
C100373,875111.9234708106
C100374,373893.4716104844
C100375,2406006.2374095162
C100376,751034.9310604647
C100377,1646476.259432125
C100378,1303555.1895666108
C100379,877774.1028906958
C100380,1739912.953829635
C100381,460325.3325814593
C100382,860052.3248459115
C100383,602275.4865880538
C100384,678378.4351279848
C100385,1003140.1286268856
C100386,1908598.3380052866
C100387,266616.57197245635
C100388,503429.59875729785
C100389,1067459.689921312
C100390,149169.72378464774
C100391,139104.23131109437
C100392,282454.99312232784
C100393,2531632.739700374
C100394,915004.6070668768
C100395,165754.40704311687
C100396,1378403.4731075056
C100397,737652.2098630555
C100398,1298480.4790951551
C100399,651638.0244353474
C100400,2087187.6170749832
C100401,1276585.3267845572
C100402,633771.2603004124
C100403,584455.0960526625
C100404,1111940.772575132
C100405,770394.7166906241
C100406,634023.7840742714
C100407,1108108.359191195
C100408,1403245.9248117923
C100409,1405560.9325985804
C100410,1043854.6242566122
C100411,1381694.835983823
C100412,51066.332406761474
C100413,1304384.0560725224
C100414,225843.96905579214
C100415,1075711.829853889
C100416,877044.9442415764
C100417,2633295.7189928917
C100418,282515.7554413161
C100419,977467.0995914295
C100420,1610374.445035753
C100421,1693308.0300239497
C100422,800164.2416486936
C100423,1023977.523136623
C100424,796544.8704401109
C100425,244003.9715222288
C100426,386520.5461494395
C100427,1213504.7085660724
C100428,343782.1375989891
C100429,46788.46900450569
C100430,543030.0286790158
C100431,328650.83102814306
C100432,397125.2492935987
C100433,88883.12442543726
C100434,898363.2131565681
C100435,2057638.1324594175
C100436,1016816.028937482
C100437,701840.1551167009
C100438,261565.2280776094
C100439,105870.87995285256
C100440,84730.33903794031
C100441,674021.0409496186
C100442,320732.23181270127
C100443,825745.659901413
C100444,876064.1167634244
C100445,1380124.058609834
C100446,1009488.9323412752
C100447,732481.4148149516
C100448,851275.7018792208
C100449,408066.03825642756
C100450,1078766.188526749
C100451,1896222.847887321
C100452,1349072.5285848922
C100453,515581.6780293068
C100454,737822.6576034428
C100455,1833575.666019299
C100456,1372342.4824095238
C100457,31342.379162537443
C100458,397323.8069464511
C100459,383239.5124159572
C100460,1257845.8074586731
C100461,1902362.0728870062
C100462,478647.69939359644
C100463,1341193.8036209475
C100464,547131.8613172232
C100465,255121.3224648768
C100466,752067.2052302661
C100467,1264869.3616664577
C100468,1008018.9101947669
C100469,202654.42486008457
C100470,1691595.1422709445
C100471,693473.0568600086
C100472,1533278.7106450368
C100473,915482.5364356886
C100474,538750.5767656446
C100475,649594.8760775191
C100476,540346.5908323221
C100477,431412.704908956
C100478,389272.50385642773
C100479,465723.7528527923
C100480,1889175.8470908147
C100481,671809.7673536092
C100482,1809042.1316704722
C100483,613254.3222122763
C100484,972284.7061368118
C100485,497907.4408235237
C100486,2170535.7982999054
C100487,1406214.3402895578
C100488,1152298.413546502
C100489,1777316.5982541759
C100490,2544851.137093792
C100491,857648.5415276963
C100492,814641.2128383744
C100493,1772342.1393184063
C100494,555187.1603540587
C100495,988574.7595240261
C100496,1616623.872743581
C100497,1097158.4383755724
C100498,877216.1654580439
C100499,2379019.046020829
C100500,318070.99551957415
C100501,318100.03405818634
C100502,889664.7374749025
C100503,746483.9685166071
C100504,733395.2731508842
C100505,258856.99510690747
C100506,1727686.9216806944
C100507,443383.5687446712
C100508,1491596.9883749883
C100509,1334597.364976215
C100510,1267892.8814787888
C100511,507644.89286158537
C100512,682686.68610194
C100513,656992.3988334539
C100514,586855.313597165
C100515,561182.4658213502
C100516,650846.2086694357
C100517,499919.42052781
C100518,711891.5363773592
C100519,1342075.103263574
C100520,2260674.0293209245
C100521,475919.6942987189
C100522,1252979.7874181776
C100523,438196.37959963334
C100524,834820.4674563541
C100525,308214.484892976
C100526,1670810.8096233038
C100527,907995.016928792
C100528,1375407.9878611132
C100529,412390.1196805329
C100530,2368309.511890943
C100531,803239.9224299088
C100532,737034.9857132687
C100533,1562066.9150203518
C100534,1225800.9262279873
C100535,722199.0269923981
C100536,2417680.7035821667
C100537,1922614.4310368306
C100538,1883406.3216167612
C100539,1491627.546011028
C100540,197541.40190008737
C100541,1060157.5751737705
C100542,1111176.8487296847
C100543,530368.0051356921
C100544,133280.9877710551
C100545,172345.22111461396
C100546,1590679.9414483258
C100547,1473505.1358979817
C100548,187993.6525174442
C100549,34528.90821350891
C100550,781482.1686877456
C100551,333857.1064756745
C100552,2141603.6825398295
C100553,743379.296305027
C100554,754123.0518015227
C100555,434080.9311471759
C100556,1380179.0639427218
C100557,2499970.605275652
C100558,780287.9145894081
C100559,594294.5074015694
C100560,1656428.7134796893
C100561,554378.193292763
C100562,294958.4344374936
C100563,303745.9707750938
C100564,1098243.0475454922
C100565,440455.1844279312
C100566,1121353.6295493736
C100567,131486.8191877799
C100568,653566.7731282535
C100569,609337.8087078823
C100570,50679.96006711207
C100571,304538.90148310584
C100572,1638760.4723623602
C100573,614982.1444110379
C100574,81573.23412581906
C100575,1102624.7788484227
C100576,1437650.37741471
C100577,1553771.5919621843
C100578,281888.67547006503
C100579,1228380.4131650934
C100580,1112878.650432509
C100581,865933.2985815603
C100582,203214.28852611664
C100583,312248.33856762084
C100584,2399097.5866762097
C100585,631942.0593678735
C100586,1309703.5264636714
C100587,662642.2037007256
C100588,554031.7645335417
C100589,260887.31307317255
C100590,736838.7772175032
C100591,196072.45302394746
C100592,1604016.9192480631
C100593,725228.5558585364
C100594,185735.4404394364
C100595,1380621.6032231818
C100596,985993.4843236693
C100597,1441852.3491438888
C100598,3819221.020577364
C100599,685322.6070977096
C100600,877790.5635501303
C100601,833461.7527159798
C100602,220559.02139217456
C100603,854558.0577618596
C100604,412622.03196930164
C100605,1256742.5726814799
C100606,1163825.879197706
C100607,1082602.3697734626
C100608,1851243.6095764558
C100609,1033716.7990166417
C100610,1540185.8938952917
C100611,148018.39441951082
C100612,2060981.5802591722
C100613,366862.0415661303
C100614,739042.9185682278
C100615,989844.6188737744
C100616,1503924.5290048255
C100617,1454695.0031446498
C100618,1086216.961819893
C100619,231238.45012929456
C100620,1300205.9129467972
C100621,1344826.934103455
C100622,1013544.1508907685
C100623,374307.3589567055
C100624,1043396.3794981773
C100625,412679.9567809051
C100626,1286622.684977881
C100627,804786.4313826117
C100628,463413.581350703
C100629,353670.10844144743
C100630,986197.1214580355
C100631,828411.1159637931
C100632,1663142.0211632643
C100633,1716858.0977624042
C100634,1696949.0602620684
C100635,1862583.0054513114
C100636,782288.6335765587
C100637,2706037.509002986
C100638,577257.4726851189
C100639,773962.2852625359
C100640,578963.8067478306
C100641,2214991.940008179
C100642,1665419.4226934963
C100643,1428403.6088881665
C100644,1308524.6887312862
C100645,279427.27081329335
C100646,254745.2247364049
C100647,484457.7449701511
C100648,590759.4068245515
C100649,468069.6087237827
C100650,1746800.6607036083
C100651,454410.0171180212
C100652,1545653.836217794
C100653,84720.89899076417
C100654,440359.68488204334
C100655,480196.8105867966
C100656,363085.1041556848
C100657,1316189.2024241586
C100658,2576336.6047847923
C100659,1292688.4388785092
C100660,1394308.622335571
C100661,364648.7373538732
C100662,68310.8492285917
C100663,574602.3381731831
C100664,288883.8871450636
C100665,860924.2696802453
C100666,702079.287923806
C100667,673433.4390159366
C100668,896271.394582639
C100669,688225.4563876169
C100670,300430.3376921734
C100671,485551.27082305786
C100672,1498966.174630155
C100673,1867361.0704831062
C100674,1435000.0628841314
C100675,136335.11002567332
C100676,418652.643055633
C100677,1188340.9803824704
C100678,113701.60578176472
C100679,889169.4103798722
C100680,1364448.689797914
C100681,905656.6710667263
C100682,36884.602334576775
C100683,1120985.0367743252
C100684,1919025.2757144743
C100685,1602841.393288842
C100686,627967.76034238
C100687,973655.4659025657
C100688,2897226.2616165727
C100689,1922122.717604136
C100690,2594857.2383300085
C100691,1361110.0484263925
C100692,882268.8642403845
C100693,449720.026654472
C100694,594437.5939643641
C100695,750929.7737793295
C100696,1715943.8456351785
C100697,102102.67273639451
C100698,1076508.9397060818
C100699,832829.5717028823
C100700,1007736.3710547641
C100701,237049.05395808892
C100702,289881.7798275651
C100703,325114.5600526966
C100704,830362.0866639437
C100705,1106444.6768714078
C100706,1310973.9170539803
C100707,552761.8399618809
C100708,103516.1359961151
C100709,630703.5182059569
C100710,588928.3970540997
C100711,493331.6898828152
C100712,464818.65606379794
C100713,1849165.5599197745
C100714,886821.988222437
C100715,350797.2657386259
C100716,969034.1850286897
C100717,1543211.118926439
C100718,1188799.2400194318
C100719,518581.8191714223
C100720,813315.8757353614
C100721,120652.15171404288
C100722,250068.68325215322
C100723,869968.8227190416
C100724,1361228.5712497886
C100725,969920.267023943
C100726,291786.9019349157
C100727,1117258.7296542267
C100728,598429.1586336656
C100729,1246520.0109648728
C100730,2012266.5721517333
C100731,798912.6079807356
C100732,114666.19542677008
C100733,833175.2034974542
C100734,1119522.5694174836
C100735,1892976.8180349167
C100736,59383.84569135084
C100737,985507.2563225286
C100738,341004.5647035085
C100739,2223273.781289899
C100740,155256.96805372255
C100741,779418.918895082
C100742,150906.78565421276
C100743,421308.62248153944
C100744,695979.7197755836
C100745,718340.7938270525
C100746,1463579.8738697795
C100747,441202.6504462865
C100748,970994.8468963229
C100749,155105.91515656258
C100750,302774.335232004
C100751,309253.4511560205
C100752,793423.24170635
C100753,712433.0977733559
C100754,650756.9525721916
C100755,1375332.3718296315
C100756,2377159.121320308
C100757,276472.8625686339
C100758,650806.7547906823
C100759,555716.7469661564
C100760,209948.71557724045
C100761,730746.159368851
C100762,474739.16696638486
C100763,461647.7483039681
C100764,813061.8930475751
C100765,354959.51537318877
C100766,1274360.6920076679
C100767,1000844.3598819776
C100768,1089683.132563666
C100769,219789.48527256836
C100770,1992073.0196041442
C100771,273580.5156573656
C100772,1421414.8319157006
C100773,93250.93927681785
C100774,1173573.001827479
C100775,2168095.5778260836
C100776,217928.35968583293
C100777,643550.1277268576
C100778,2565589.9173584986
C100779,961410.1361800387
C100780,1886641.233311249
C100781,820492.9681383221
C100782,1400902.9758109844
C100783,897017.1066985647
C100784,1115099.6929440522
C100785,418776.35268923244
C100786,1576028.1764917825
C100787,914060.6635030479
C100788,1276714.601624101
