id_cliente,id_cuenta,mes,saldo
C100000,C100000-T1,2025-04-01,977707.1119184193
C100000,C100000-T1,2025-05-01,861535.2292738897
C100000,C100000-T1,2025-06-01,881926.4028581417
C100000,C100000-T1,2025-07-01,525185.2786687136
C100000,C100000-T1,2025-08-01,844298.9502462349
C100000,C100000-T1,2025-09-01,930480.5828383217
C100001,C100001-T1,2025-04-01,1321178.8879458073
C100001,C100001-T1,2025-05-01,1599736.8580285793
C100001,C100001-T1,2025-06-01,1259648.1894272896
C100001,C100001-T1,2025-07-01,1102414.7998244388
C100001,C100001-T1,2025-08-01,710796.214360607
C100001,C100001-T1,2025-09-01,1184915.2959881104
C100001,C100001-T2,2025-04-01,380768.7369789407
C100001,C100001-T2,2025-05-01,413982.69970574765
C100001,C100001-T2,2025-06-01,517334.6107909617
C100001,C100001-T2,2025-07-01,404186.5172467851
C100001,C100001-T2,2025-08-01,361629.6551763549
C100001,C100001-T2,2025-09-01,435706.26248103665
C100001,C100001-T3,2025-04-01,329036.6743384922
C100001,C100001-T3,2025-05-01,237913.82626982778
C100001,C100001-T3,2025-06-01,410864.343707006
C100001,C100001-T3,2025-07-01,310465.4171122886
C100001,C100001-T3,2025-08-01,351557.9051096554
C100001,C100001-T3,2025-09-01,438189.63527353073
C100002,C100002-T1,2025-04-01,320258.4238498662
C100002,C100002-T1,2025-05-01,620706.670765235
C100002,C100002-T1,2025-06-01,914405.1997182819
C100002,C100002-T1,2025-07-01,700829.5260417543
C100002,C100002-T1,2025-08-01,750843.5379273256
C100002,C100002-T1,2025-09-01,433118.58279882296
C100003,C100003-T1,2025-04-01,544974.2282510794
C100003,C100003-T1,2025-05-01,464647.27116614755
C100003,C100003-T1,2025-06-01,516731.2026305645
C100003,C100003-T1,2025-07-01,535175.0306919585
C100003,C100003-T1,2025-08-01,414298.8824369564
C100003,C100003-T1,2025-09-01,573619.5836721781
C100003,C100003-T2,2025-04-01,434940.85541867494
C100003,C100003-T2,2025-05-01,311467.7122616673
C100003,C100003-T2,2025-06-01,979762.8224164525
C100003,C100003-T2,2025-07-01,833973.8096377461
C100003,C100003-T2,2025-08-01,800611.3838544388
C100003,C100003-T2,2025-09-01,832182.9082149072
C100004,C100004-T1,2025-04-01,589664.0140115254
C100004,C100004-T1,2025-05-01,393827.0481127291
C100004,C100004-T1,2025-06-01,566035.7262564056
C100004,C100004-T1,2025-07-01,579481.2017961859
C100004,C100004-T1,2025-08-01,262255.9115257126
C100004,C100004-T1,2025-09-01,400996.17025950435
C100004,C100004-T2,2025-04-01,378279.76215662603
C100004,C100004-T2,2025-05-01,246749.40043881314
C100004,C100004-T2,2025-06-01,395552.9868068467
C100004,C100004-T2,2025-07-01,310358.82502214756
C100004,C100004-T2,2025-08-01,255452.57148756844
C100004,C100004-T2,2025-09-01,378632.5652036991
C100005,C100005-T1,2025-04-01,784119.8135666067
C100005,C100005-T1,2025-05-01,828402.3732994123
C100005,C100005-T1,2025-06-01,1039824.1995680768
C100005,C100005-T1,2025-07-01,896057.263006799
C100005,C100005-T1,2025-08-01,1290237.933253718
C100005,C100005-T1,2025-09-01,773959.8693075674
C100005,C100005-T2,2025-04-01,864701.4401775725
C100005,C100005-T2,2025-05-01,1318115.795103896
C100005,C100005-T2,2025-06-01,1562999.8848642681
C100005,C100005-T2,2025-07-01,1180979.0834781148
C100005,C100005-T2,2025-08-01,1202127.2143192228
C100005,C100005-T2,2025-09-01,1195397.2874245583
C100006,C100006-T1,2025-04-01,136873.00540851135
C100006,C100006-T1,2025-05-01,177877.03485895979
C100006,C100006-T1,2025-06-01,163593.75015635687
C100006,C100006-T1,2025-07-01,147226.599321731
C100006,C100006-T1,2025-08-01,169283.71441413727
C100006,C100006-T1,2025-09-01,137225.82844218536
C100006,C100006-T2,2025-04-01,730512.5575948413
C100006,C100006-T2,2025-05-01,1089923.934420118
C100006,C100006-T2,2025-06-01,1075771.192554845
C100006,C100006-T2,2025-07-01,558055.4116954291
C100006,C100006-T2,2025-08-01,744148.3139265437
C100006,C100006-T2,2025-09-01,541729.4465978349
C100007,C100007-T1,2025-04-01,932587.4369267578
C100007,C100007-T1,2025-05-01,532171.0550674386
C100007,C100007-T1,2025-06-01,795151.6255824957
C100007,C100007-T1,2025-07-01,979000.452067134
C100007,C100007-T1,2025-08-01,793162.0880519103
C100007,C100007-T1,2025-09-01,841025.9964959892
C100007,C100007-T2,2025-04-01,217993.92720633332
C100007,C100007-T2,2025-05-01,266169.52323370974
C100007,C100007-T2,2025-06-01,226800.15434687535
C100007,C100007-T2,2025-07-01,297880.893343839
C100007,C100007-T2,2025-08-01,158998.54525569797
C100007,C100007-T2,2025-09-01,246973.63561127405
C100008,C100008-T1,2025-04-01,397195.91562404745
C100008,C100008-T1,2025-05-01,482239.906438424
C100008,C100008-T1,2025-06-01,630725.960932438
C100008,C100008-T1,2025-07-01,594116.8918292015
C100008,C100008-T1,2025-08-01,579353.9523199706
C100008,C100008-T1,2025-09-01,466883.7895381416
C100008,C100008-T2,2025-04-01,2029990.7104873438
C100008,C100008-T2,2025-05-01,1451465.711790669
C100008,C100008-T2,2025-06-01,2510746.6991058323
C100008,C100008-T2,2025-07-01,2206871.414298066
C100008,C100008-T2,2025-08-01,1858009.5922811553
C100008,C100008-T2,2025-09-01,1334044.1527646421
C100008,C100008-T3,2025-04-01,583412.7691495558
C100008,C100008-T3,2025-05-01,489802.5386681518
C100008,C100008-T3,2025-06-01,448370.1325227045
C100008,C100008-T3,2025-07-01,526034.1255074671
C100008,C100008-T3,2025-08-01,481525.39403654065
C100008,C100008-T3,2025-09-01,614789.6498904035
C100009,C100009-T1,2025-04-01,446310.78851069213
C100009,C100009-T1,2025-05-01,343024.27177706046
C100009,C100009-T1,2025-06-01,493579.7893311561
C100009,C100009-T1,2025-07-01,324355.6365514669
C100009,C100009-T1,2025-08-01,572907.1024617543
C100009,C100009-T1,2025-09-01,400031.09140381485
C100010,C100010-T1,2025-04-01,817897.4082520948
C100010,C100010-T1,2025-05-01,853135.1537663182
C100010,C100010-T1,2025-06-01,766301.0509046699
C100010,C100010-T1,2025-07-01,788185.5072803046
C100010,C100010-T1,2025-08-01,576318.9186719919
C100010,C100010-T1,2025-09-01,738708.4253924183
C100011,C100011-T1,2025-04-01,50307.013358525335
C100011,C100011-T1,2025-05-01,70551.9544305997
C100011,C100011-T1,2025-06-01,82975.89912812834
C100011,C100011-T1,2025-07-01,109799.32618416924
C100011,C100011-T1,2025-08-01,53231.20604187416
C100011,C100011-T1,2025-09-01,85091.54564180392
C100011,C100011-T2,2025-04-01,581393.3065584429
C100011,C100011-T2,2025-05-01,770718.5528735983
C100011,C100011-T2,2025-06-01,931822.6378499481
C100011,C100011-T2,2025-07-01,738237.6494742592
C100011,C100011-T2,2025-08-01,988647.5954940524
C100011,C100011-T2,2025-09-01,799859.2479763825
C100012,C100012-T1,2025-04-01,932112.2571629118
C100012,C100012-T1,2025-05-01,692676.2366082023
C100012,C100012-T1,2025-06-01,567756.5872210917
C100012,C100012-T1,2025-07-01,552560.3096060944
C100012,C100012-T1,2025-08-01,466359.72815395566
C100012,C100012-T1,2025-09-01,913302.5848592349
C100013,C100013-T1,2025-04-01,795643.3747622629
C100013,C100013-T1,2025-05-01,818172.9874911014
C100013,C100013-T1,2025-06-01,791073.3199640715
C100013,C100013-T1,2025-07-01,851924.2486365468
C100013,C100013-T1,2025-08-01,762721.7888680702
C100013,C100013-T1,2025-09-01,606104.5031498398
C100013,C100013-T2,2025-04-01,183560.58976231373
C100013,C100013-T2,2025-05-01,177211.8546685392
C100013,C100013-T2,2025-06-01,319660.46839342837
C100013,C100013-T2,2025-07-01,83328.8018534664
