id_cliente,fecha_alta,ingreso_mensual,region,segmento
C00000001,2025-01-02,855589,XI,mass_affluent
C00000002,2022-11-05,854133,XV,mass
C00000003,2018-03-13,3649215,VII,affluent
C00000004,2023-09-26,1295056,XII,mass_affluent
C00000005,2020-10-07,425162,RM,mass
C00000006,2020-06-23,1461106,III,pyme
C00000007,2020-01-20,1698466,XV,mass_affluent
C00000008,2021-09-15,1482185,VIII,mass_affluent
C00000009,2019-12-17,504931,II,mass
C00000010,2019-01-25,678019,IX,mass
C00000011,2019-11-27,994959,VII,mass
C00000012,2022-11-02,2741053,XII,pyme
C00000013,2020-07-13,977304,VIII,mass_affluent
C00000014,2022-02-09,3255362,IX,affluent
C00000015,2019-10-08,659518,IX,mass
C00000016,2018-11-08,638510,VIII,mass
C00000017,2023-12-24,1566015,III,mass_affluent
C00000018,2025-01-29,525472,XIV,mass
C00000019,2020-02-29,2559664,V,affluent
C00000020,2024-08-27,2023502,V,mass_affluent
C00000021,2023-02-20,2734803,VII,mass_affluent
C00000022,2020-04-30,371669,XI,mass
C00000023,2021-01-31,1446434,V,pyme
C00000024,2022-12-05,4130273,XVI,affluent
C00000025,2022-10-25,872229,IX,mass_affluent
C00000026,2024-07-14,768046,V,mass
C00000027,2021-10-22,1249276,XII,mass
C00000028,2019-03-15,618019,XII,mass
C00000029,2018-03-02,737167,X,mass
C00000030,2021-06-10,856179,VII,mass_affluent
C00000031,2020-10-15,1843143,II,mass_affluent
C00000032,2022-11-30,353326,XVI,pyme
C00000033,2024-12-25,627176,IV,mass
C00000034,2024-06-03,475598,XIV,mass
C00000035,2019-10-17,719680,XIV,mass
C00000036,2024-12-05,1263899,XII,mass
C00000037,2018-12-01,896512,VIII,mass
C00000038,2019-09-26,859670,XVI,mass
C00000039,2021-11-30,873905,VII,mass
C00000040,2025-04-07,1488488,IV,mass_affluent
C00000041,2020-03-12,1120975,VIII,mass
C00000042,2020-10-08,3773768,X,affluent
C00000043,2019-05-05,849409,III,mass_affluent
C00000044,2022-08-27,1043707,IX,mass
C00000045,2019-08-13,3235267,RM,affluent
C00000046,2019-10-10,3454909,XI,affluent
C00000047,2020-12-13,300000,IV,mass
C00000048,2022-09-28,800189,VIII,mass
C00000049,2020-11-11,1430529,VI,mass_affluent
C00000050,2021-11-20,626752,XI,mass
C00000051,2021-10-11,1068284,XIV,mass
C00000052,2018-06-21,391068,RM,mass
C00000053,2022-08-21,3013504,X,mass_affluent
C00000054,2019-04-20,941145,II,mass_affluent
C00000055,2020-07-10,1735072,VII,mass_affluent
C00000056,2020-08-28,1607175,XVI,mass_affluent
C00000057,2020-04-28,1092072,V,mass
C00000058,2019-04-02,2335601,III,mass_affluent
C00000059,2019-02-22,691210,XII,mass
C00000060,2018-09-24,843957,XII,mass
C00000061,2022-04-19,1286421,XVI,mass_affluent
C00000062,2020-09-14,558281,VI,mass
C00000063,2023-11-04,1517057,V,mass_affluent
C00000064,2022-12-18,1486426,XII,mass_affluent
C00000065,2024-03-11,1505571,XI,mass_affluent
C00000066,2023-11-09,1310848,V,mass_affluent
C00000067,2020-08-01,1670144,IX,mass_affluent
C00000068,2021-05-17,995450,IX,mass
C00000069,2024-02-14,498512,V,mass
C00000070,2019-07-07,954223,XVI,mass
C00000071,2019-04-21,1190374,X,mass
C00000072,2024-02-09,481071,IV,mass
C00000073,2024-01-13,3154730,V,affluent
C00000074,2021-10-02,913612,RM,mass
C00000075,2024-01-12,995835,VIII,mass
C00000076,2023-10-27,1024127,XI,mass
C00000077,2020-07-11,1101095,IV,mass
C00000078,2023-06-10,1567972,XII,mass_affluent
C00000079,2020-06-17,1001343,III,mass_affluent
C00000080,2018-12-18,1321015,X,mass_affluent
C00000081,2021-05-24,2221676,XII,mass_affluent
C00000082,2020-02-08,580081,IX,mass
C00000083,2024-04-23,3518873,XV,affluent
C00000084,2024-09-05,1011287,XV,mass
C00000085,2018-11-26,953026,IV,mass
C00000086,2023-12-29,1032354,II,mass
C00000087,2023-11-02,1484129,XII,mass_affluent
C00000088,2018-02-09,774645,II,mass
C00000089,2020-03-18,1253985,VII,mass
C00000090,2021-08-07,1293111,VII,mass
C00000091,2025-01-05,1161604,XII,mass
C00000092,2022-12-18,1774604,XII,mass_affluent
C00000093,2023-11-02,655997,XIV,mass
C00000094,2022-04-07,834149,VIII,mass
C00000095,2018-07-12,767678,XI,mass
C00000096,2021-03-25,2050378,VII,mass_affluent
C00000097,2021-12-06,897601,XI,mass
C00000098,2023-08-16,945943,VII,mass
C00000099,2025-03-05,791675,XI,mass
C00000100,2019-01-06,300000,III,pyme
C00000101,2023-06-17,4074859,VI,pyme
C00000102,2024-10-31,1467780,XII,mass_affluent
C00000103,2025-01-17,1042029,XV,mass
C00000104,2022-08-06,2094152,IV,pyme
C00000105,2023-07-26,2311104,VI,mass_affluent
C00000106,2024-09-02,1232563,IV,mass_affluent
C00000107,2020-09-26,782235,XI,mass
C00000108,2025-03-07,803990,XIV,mass
C00000109,2022-08-15,422919,VIII,mass
C00000110,2022-06-03,2992529,III,pyme
C00000111,2023-03-07,1006854,IX,mass
C00000112,2018-01-06,904930,X,mass
C00000113,2018-10-07,1379363,IV,mass
C00000114,2018-08-10,1054459,III,mass_affluent
C00000115,2020-11-24,368834,XIV,mass
C00000116,2024-02-20,1808771,X,affluent
C00000117,2024-12-14,1542057,X,mass_affluent
C00000118,2022-11-28,2099445,XIV,mass_affluent
C00000119,2018-07-25,843632,XI,mass
C00000120,2021-08-31,1253376,VI,mass_affluent
C00000121,2018-12-05,2248557,VII,mass_affluent
C00000122,2021-11-10,1442150,V,mass_affluent
C00000123,2024-07-28,456558,VIII,mass
C00000124,2020-07-22,1049682,RM,mass
C00000125,2018-09-01,961274,IV,mass
C00000126,2018-09-30,859398,RM,mass
C00000127,2019-10-23,1205389,IX,mass
C00000128,2021-12-14,773916,RM,mass
C00000129,2023-03-25,869973,XVI,mass
C00000130,2021-12-23,1012145,IX,mass_affluent
C00000131,2024-09-03,624040,RM,mass
C00000132,2019-09-22,1931365,VIII,pyme
C00000133,2018-01-08,1846541,VIII,mass_affluent
C00000134,2020-05-26,630972,VI,mass
C00000135,2022-10-05,1451717,XI,mass_affluent
C00000136,2020-06-15,744271,IX,mass
C00000137,2021-12-27,2436797,VI,pyme
C00000138,2018-12-02,608918,V,mass
C00000139,2024-07-04,1396482,IV,mass_affluent
C00000140,2020-02-16,511858,RM,mass
C00000141,2023-01-31,790078,XII,mass
C00000142,2025-04-29,792952,RM,mass
C00000143,2021-02-06,2587093,XI,pyme
C00000144,2018-01-27,1779716,VII,mass_affluent
C00000145,2018-10-23,1252299,XI,mass
C00000146,2019-08-10,385311,VII,mass
C00000147,2024-04-22,707261,RM,mass
C00000148,2024-02-15,571728,X,mass
C00000149,2025-02-03,877918,RM,mass
C00000150,2021-01-04,976985,V,mass
C00000151,2022-07-07,1786715,XVI,affluent
C00000152,2018-04-29,3318153,XVI,affluent
C00000153,2021-11-05,1016346,V,mass
C00000154,2023-09-24,1712498,XII,mass_affluent
C00000155,2021-08-06,715582,IV,mass
C00000156,2024-10-16,1837987,XII,mass_affluent
C00000157,2024-05-30,736244,III,mass
C00000158,2018-10-15,1952750,X,mass_affluent
C00000159,2024-01-08,1676297,XIV,mass_affluent
C00000160,2019-05-10,1405844,RM,mass_affluent
C00000161,2018-05-11,485520,VII,mass
C00000162,2025-02-07,2520601,VI,pyme
C00000163,2024-06-07,532090,VII,mass
C00000164,2022-06-14,528241,III,mass
C00000165,2021-11-15,1325984,III,mass_affluent
C00000166,2019-02-19,780983,VIII,mass
C00000167,2021-06-05,1805590,XI,affluent
C00000168,2023-04-09,2834757,IV,affluent
C00000169,2023-09-09,740567,VIII,mass
C00000170,2023-06-10,1780204,VII,pyme
C00000171,2025-06-21,735828,III,mass
C00000172,2019-03-10,961157,X,mass
C00000173,2018-05-24,703082,RM,mass
C00000174,2020-09-29,3197744,XVI,pyme
C00000175,2020-10-31,780071,XIV,mass
C00000176,2024-04-15,1054618,IX,mass
C00000177,2022-04-16,1002928,X,mass
C00000178,2019-11-09,2245023,XV,pyme
C00000179,2025-05-18,2319206,X,affluent
C00000180,2022-10-16,1742510,II,mass_affluent
C00000181,2019-04-05,2475413,II,affluent
C00000182,2023-12-20,1432742,VII,affluent
C00000183,2023-03-10,983881,XI,mass
C00000184,2018-09-08,646947,IV,mass
C00000185,2023-02-08,464925,VIII,mass_affluent
C00000186,2023-09-04,1461792,XVI,mass_affluent
C00000187,2022-05-23,1034012,V,mass
C00000188,2023-02-23,652575,VII,mass
C00000189,2020-12-17,1325985,VIII,mass_affluent
C00000190,2024-02-26,924663,III,mass
C00000191,2023-06-02,1953972,X,pyme
C00000192,2021-07-04,774035,V,mass
C00000193,2018-02-10,1023762,VIII,mass
C00000194,2023-01-07,3677489,IX,affluent
C00000195,2022-03-24,856560,VIII,mass
C00000196,2022-02-10,383243,VII,mass
C00000197,2023-12-11,1792042,XIV,mass_affluent
C00000198,2023-08-26,2604830,IV,affluent
C00000199,2018-05-03,922407,XVI,mass
C00000200,2023-07-30,420787,XI,mass
C00000201,2018-06-28,1968857,V,mass_affluent
C00000202,2023-01-27,1491438,XII,pyme
C00000203,2024-03-01,907758,VII,mass
C00000204,2019-02-14,1033308,VII,mass
C00000205,2018-10-05,897687,XII,mass
C00000206,2024-07-30,896540,X,mass
C00000207,2019-12-23,822061,VII,mass
C00000208,2024-11-02,890115,VI,mass_affluent
C00000209,2018-03-30,1131358,XIV,mass
C00000210,2020-06-27,1073873,V,mass
C00000211,2023-04-16,1308695,VIII,mass_affluent
C00000212,2023-01-24,300000,IX,mass_affluent
C00000213,2020-12-29,1051674,XII,mass
C00000214,2020-05-02,1179238,XV,affluent
C00000215,2022-09-14,1766067,VII,mass_affluent
C00000216,2020-07-14,1135698,II,mass_affluent
C00000217,2024-01-16,920061,XIV,mass
C00000218,2019-01-06,548170,XV,mass
C00000219,2025-04-13,2506675,RM,pyme
C00000220,2020-05-19,373417,XV,mass
C00000221,2021-12-14,803813,X,mass
C00000222,2019-04-10,798895,II,mass
C00000223,2021-11-01,1858997,V,mass_affluent
C00000224,2019-07-23,1925990,V,pyme
C00000225,2018-11-14,870742,RM,mass
C00000226,2024-06-01,2024129,XI,pyme
C00000227,2018-03-19,913390,XV,mass
C00000228,2025-04-22,1695556,XVI,mass_affluent
C00000229,2022-06-25,1939823,IX,mass_affluent
C00000230,2022-03-04,506825,II,mass
C00000231,2018-04-20,777141,XV,mass
C00000232,2024-12-29,870948,XV,mass
C00000233,2024-07-28,4683205,XII,pyme
C00000234,2024-04-29,2491342,II,mass_affluent
C00000235,2021-03-24,868693,XIV,pyme
C00000236,2019-10-06,2385139,X,affluent
C00000237,2024-02-16,300000,VII,mass
C00000238,2023-01-07,2598118,XV,mass_affluent
C00000239,2022-06-27,879395,VIII,mass
C00000240,2024-06-03,945156,IV,mass
C00000241,2020-11-23,2683828,II,affluent
C00000242,2019-03-22,1498075,XI,mass_affluent
C00000243,2020-03-26,1082325,V,mass
C00000244,2023-03-29,538448,VIII,mass
C00000245,2023-07-29,935471,IV,mass_affluent
C00000246,2023-03-18,2759314,X,affluent
C00000247,2018-10-31,1504972,XI,mass_affluent
C00000248,2023-08-05,938854,XVI,mass
C00000249,2025-06-19,804922,VII,mass
C00000250,2019-08-16,588780,II,mass
C00000251,2023-10-12,1309638,III,mass_affluent
C00000252,2024-02-19,3176971,VI,affluent
C00000253,2022-10-27,965149,V,mass
C00000254,2018-06-07,1049849,XV,mass
C00000255,2022-09-10,731350,IX,mass
C00000256,2020-07-27,1146266,XI,mass_affluent
C00000257,2025-01-30,2101875,RM,affluent
C00000258,2018-03-09,1091698,XVI,mass
C00000259,2018-03-31,690930,XVI,mass
C00000260,2023-05-16,1118159,XVI,mass_affluent
C00000261,2020-04-24,841793,IX,mass
C00000262,2021-01-13,4614324,V,affluent
C00000263,2024-04-18,568917,XII,mass
C00000264,2020-05-12,947815,III,mass
C00000265,2020-07-21,1954031,XII,pyme
C00000266,2020-06-13,827772,XII,mass
C00000267,2023-07-01,1002788,X,mass
C00000268,2018-10-06,1103998,VI,mass
C00000269,2021-09-12,667599,VII,mass
C00000270,2019-09-02,987598,XI,mass
C00000271,2018-07-12,859363,V,mass
C00000272,2023-11-21,900695,II,mass
C00000273,2023-10-02,1108912,XV,mass
C00000274,2025-03-26,1144704,XI,mass_affluent
C00000275,2022-08-04,1887430,VI,mass_affluent
C00000276,2024-11-03,839217,XII,mass
C00000277,2021-01-08,1095958,XII,mass
C00000278,2019-02-04,902518,III,mass
C00000279,2024-09-24,2848893,XI,affluent
C00000280,2020-10-25,3871233,XII,affluent
C00000281,2020-09-30,658042,XV,mass
C00000282,2018-02-06,699902,X,mass
