id_cliente,id_cuenta,limite,apr
C00000001,T00000001,2928337,0.2327
C00000002,T00000002,1454916,0.2806
C00000003,T00000003,5000000,0.2062
C00000004,T00000004,2234204,0.3217
C00000005,T00000005,1417401,0.241
C00000006,T00000006,5000000,0.2391
C00000007,T00000007,5000000,0.3203
C00000008,T00000008,4408769,0.2256
C00000009,T00000009,1585073,0.3346
C00000010,T00000010,1966531,0.2731
C00000011,T00000011,3306525,0.3301
C00000012,T00000012,5000000,0.2635
C00000013,T00000013,1957348,0.3232
C00000014,T00000014,5000000,0.2931
C00000015,T00000015,1740464,0.3039
C00000016,T00000016,1602856,0.2347
C00000017,T00000017,5000000,0.2283
C00000018,T00000018,1301359,0.3336
C00000019,T00000019,5000000,0.2593
C00000020,T00000020,4125429,0.3126
C00000021,T00000021,5000000,0.2644
C00000022,T00000022,847341,0.2947
C00000023,T00000023,2230787,0.2721
C00000024,T00000024,5000000,0.2567
C00000025,T00000025,2857669,0.2681
C00000026,T00000026,1588146,0.3255
C00000027,T00000027,2461384,0.2774
C00000028,T00000028,1821933,0.3198
C00000029,T00000029,1118623,0.326
C00000030,T00000030,1899896,0.2689
C00000031,T00000031,5000000,0.3142
C00000032,T00000032,597156,0.2704
C00000033,T00000033,1450492,0.3392
C00000034,T00000034,1282735,0.2313
C00000035,T00000035,2137671,0.2826
C00000036,T00000036,2364238,0.3311
C00000037,T00000037,2532715,0.2726
C00000038,T00000038,2979340,0.2902
C00000039,T00000039,2871237,0.2382
C00000040,T00000040,4256900,0.2422
C00000041,T00000041,2671928,0.3254
C00000042,T00000042,5000000,0.2008
C00000043,T00000043,1697843,0.2328
C00000044,T00000044,3434450,0.2565
C00000045,T00000045,5000000,0.2773
C00000046,T00000046,5000000,0.2566
C00000047,T00000047,479008,0.2328
C00000048,T00000048,2485626,0.3248
C00000049,T00000049,4152809,0.2805
C00000050,T00000050,1190883,0.3476
C00000051,T00000051,3288864,0.2521
C00000052,T00000052,1061246,0.3489
C00000053,T00000053,5000000,0.2716
C00000054,T00000054,3288187,0.2675
C00000055,T00000055,5000000,0.2502
C00000056,T00000056,4018978,0.2904
C00000057,T00000057,2821598,0.307
C00000058,T00000058,5000000,0.2916
C00000059,T00000059,1230825,0.2506
C00000060,T00000060,2019062,0.2858
C00000061,T00000061,3339279,0.2937
C00000062,T00000062,915220,0.2547
C00000063,T00000063,2277094,0.3019
C00000064,T00000064,4549041,0.2343
C00000065,T00000065,4796482,0.2475
