id_cliente,default_12m,lgd_real,stage_ifrs9,pd12m_sim
C00000001,1,0.32,2,0.35
C00000002,0,0.324,2,0.35
C00000003,1,0.331,2,0.35
C00000004,1,0.308,2,0.35
C00000005,0,0.335,2,0.35
C00000006,1,0.334,2,0.35
C00000007,1,0.347,2,0.35
C00000008,1,0.334,2,0.35
C00000009,0,0.306,2,0.35
C00000010,0,0.341,2,0.35
C00000011,0,0.314,2,0.35
C00000012,1,0.326,2,0.35
C00000013,0,0.328,2,0.35
C00000014,1,0.302,2,0.35
C00000015,0,0.31,2,0.35
C00000016,0,0.322,2,0.35
C00000017,0,0.361,2,0.35
C00000018,0,0.322,2,0.35
C00000019,1,0.314,2,0.35
C00000020,0,0.346,2,0.35
C00000021,1,0.344,2,0.35
C00000022,0,0.322,2,0.35
C00000023,1,0.355,2,0.35
C00000024,1,0.346,2,0.35
C00000025,1,0.335,2,0.35
C00000026,0,0.33,2,0.35
C00000027,0,0.321,2,0.35
C00000028,0,0.326,2,0.35
C00000029,0,0.343,2,0.35
C00000030,1,0.316,2,0.35
C00000031,1,0.346,2,0.35
C00000032,1,0.343,2,0.35
C00000033,0,0.353,2,0.35
C00000034,0,0.303,2,0.35
C00000035,0,0.336,2,0.35
C00000036,0,0.311,2,0.35
C00000037,0,0.31,2,0.35
C00000038,0,0.312,2,0.35
C00000039,0,0.34,2,0.35
C00000040,1,0.321,2,0.35
C00000041,0,0.33,2,0.35
C00000042,1,0.354,2,0.35
C00000043,1,0.331,2,0.35
C00000044,0,0.314,2,0.35
C00000045,1,0.3,2,0.35
C00000046,1,0.321,2,0.35
C00000047,0,0.31,2,0.35
C00000048,0,0.319,2,0.35
C00000049,1,0.33,2,0.35
C00000050,0,0.334,2,0.35
C00000051,0,0.344,2,0.35
C00000052,0,0.358,2,0.35
C00000053,1,0.335,2,0.35
C00000054,1,0.322,2,0.35
C00000055,1,0.372,2,0.35
C00000056,1,0.323,2,0.35
C00000057,0,0.328,2,0.35
C00000058,0,0.337,2,0.35
C00000059,0,0.34,2,0.35
C00000060,0,0.316,2,0.35
C00000061,1,0.328,2,0.35
C00000062,0,0.321,2,0.35
C00000063,0,0.334,2,0.35
C00000064,1,0.342,2,0.35
C00000065,0,0.322,2,0.35
C00000066,0,0.331,2,0.35
C00000067,0,0.349,2,0.35
C00000068,0,0.311,2,0.35
C00000069,0,0.32,2,0.35
C00000070,0,0.317,2,0.35
C00000071,0,0.316,2,0.35
C00000072,0,0.316,2,0.35
C00000073,1,0.325,2,0.35
C00000074,0,0.316,2,0.35
C00000075,0,0.348,2,0.35
C00000076,0,0.315,2,0.35
C00000077,0,0.322,2,0.35
C00000078,1,0.311,2,0.35
C00000079,0,0.32,2,0.35
C00000080,1,0.36,2,0.35
C00000081,1,0.33,2,0.35
C00000082,0,0.337,2,0.35
C00000083,1,0.311,2,0.35
C00000084,0,0.344,2,0.35
C00000085,0,0.323,2,0.35
C00000086,0,0.361,2,0.35
C00000087,1,0.35,2,0.35
C00000088,0,0.329,2,0.35
C00000089,0,0.324,2,0.35
C00000090,0,0.325,2,0.35
C00000091,0,0.3,2,0.35
C00000092,1,0.344,2,0.35
C00000093,0,0.348,2,0.35
C00000094,0,0.317,2,0.35
C00000095,0,0.333,2,0.35
C00000096,0,0.314,2,0.35
C00000097,0,0.316,2,0.35
C00000098,0,0.322,2,0.35
C00000099,0,0.331,2,0.35
C00000100,1,0.318,2,0.35
C00000101,1,0.331,2,0.35
C00000102,1,0.312,2,0.35
C00000103,0,0.353,2,0.35
C00000104,1,0.329,2,0.35
C00000105,1,0.329,2,0.35
C00000106,1,0.313,2,0.35
C00000107,0,0.327,2,0.35
C00000108,0,0.35,2,0.35
C00000109,0,0.31,2,0.35
C00000110,1,0.341,2,0.35
C00000111,0,0.308,2,0.35
C00000112,0,0.343,2,0.35
C00000113,0,0.34,2,0.35
C00000114,0,0.345,2,0.35
C00000115,0,0.312,2,0.35
C00000116,1,0.32,2,0.35
C00000117,1,0.34,2,0.35
C00000118,1,0.322,2,0.35
C00000119,0,0.313,2,0.35
C00000120,0,0.332,2,0.35
C00000121,0,0.322,2,0.35
C00000122,0,0.346,2,0.35
C00000123,0,0.33,2,0.35
C00000124,0,0.34,2,0.35
C00000125,0,0.345,2,0.35
C00000126,0,0.319,2,0.35
C00000127,0,0.316,2,0.35
C00000128,0,0.317,2,0.35
C00000129,0,0.332,2,0.35
C00000130,0,0.321,2,0.35
C00000131,0,0.343,2,0.35
C00000132,1,0.374,2,0.35
C00000133,0,0.326,2,0.35
C00000134,0,0.311,2,0.35
C00000135,0,0.331,2,0.35
