id_cliente,pd_score,lgd_pred,ead_pred,limite_ref,r_opt,e_opt,z_opt,ingreso_opt,el_opt,cost_opt,utilidad_opt
C00033554,0.09332600210384046,0.3091557501114648,426742.11454488273,2833839.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
C00009428,0.0009698883546631933,0.3280330978313104,218349.6086885055,1193824.0,0.45,1193824.0,537220.8,456637.68000000005,379.82164958288246,17907.36,438350.4983504172
C00000200,0.05908816139606395,0.3332934588425795,135041.77245803468,705780.0,0.1,0.0,1.9036672e-10,1.61811712e-10,0.0,0.0,1.61811712e-10
C00012448,0.48197516545699165,0.3201787281574253,758237.4923517454,4943318.0,0.1,0.0,1.9835085e-10,1.685982225e-10,0.0,0.0,1.685982225e-10
C00039490,0.2768245927225968,0.3533511838689067,556744.4544228411,3199822.0,0.1,0.0,2.1929414e-10,1.8640001900000001e-10,0.0,0.0,1.8640001900000001e-10
C00042725,0.0008001077724578123,0.3218908518747506,213031.355895461,1363033.0,0.45,1363033.0,613364.85,521360.12249999994,351.0455677372494,20445.495,500563.5819322627
C00010823,0.11900607062244604,0.34506024317842454,176415.64382841415,1045772.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0
C00049499,0.6251935962575803,0.3267406955671316,582910.5522277191,3676694.0,0.1,0.0,1.6947242e-10,1.44051557e-10,0.0,0.0,1.44051557e-10
C00004145,0.07651644736045059,0.3147033206494325,449634.46423249936,3530972.0,0.1,0.0,3.0973582e-10,2.63275447e-10,0.0,0.0,2.63275447e-10
C00036959,0.04851942308059594,0.32921105776855025,219155.49608971545,1315792.0,0.1,0.0,2.1372185e-10,1.8166357250000001e-10,0.0,0.0,1.8166357250000001e-10
C00043107,0.04070828165309867,0.3198444517316458,167307.12430046062,1209123.0,0.1,0.0,2.0389651e-10,1.733120335e-10,0.0,0.0,1.733120335e-10
C00038696,0.0008317409181698223,0.33559879657723896,307602.25674329046,1874750.0,0.45,1874750.0,843637.5,717091.875,523.3013131906498,28121.25,688447.3236868094
C00006189,0.6152693145063053,0.322932772729083,424177.1368801754,3451306.0,0.1,0.0,1.6764269e-10,1.4249628649999998e-10,0.0,0.0,1.4249628649999998e-10
