id_cliente,pd_score,lgd_pred,ead_pred,limite_ref,r_opt,e_opt,z_opt,ingreso_opt,el_opt,cost_opt,utilidad_opt
C00033554,0.09332600210384046,0.3091557501114648,426742.11454488273,2833839.0,0.4,2833839.0,1133535.6,963505.26,81762.68848968837,42507.585,839234.9865103117
C00009428,0.0009698883546631933,0.3280330978313104,218349.6086885055,1193824.0,0.4,1193824.0,477529.6,405900.16,379.82164958288246,17907.36,387612.9783504171
C00000200,0.05908816139606395,0.3332934588425795,135041.77245803468,705780.0,0.4,705780.0,282312.0,239965.19999999998,13899.417954478537,10586.699999999999,215479.08204552144
C00012448,0.48197516545699165,0.3201787281574253,758237.4923517454,4943318.0,0.1,0.0,1.8321951e-10,1.557365835e-10,0.0,0.0,1.557365835e-10
C00039490,0.2768245927225968,0.3533511838689067,556744.4544228411,3199822.0,0.4,3199822.0,1279928.8,1087939.48,312994.7408992179,47997.33,726947.4091007821
C00042725,0.0008001077724578123,0.3218908518747506,213031.355895461,1363033.0,0.4,1363033.0,545213.2,463431.22,351.0455677372494,20445.495,442634.6794322627
C00010823,0.11900607062244604,0.34506024317842454,176415.64382841415,1045772.0,0.4,1045772.0,418308.8,355562.48,42943.85714533328,15686.58,296932.0428546667
C00049499,0.6251935962575803,0.3267406955671316,582910.5522277191,3676694.0,0.1,0.0,1.5654409e-10,1.330624765e-10,0.0,0.0,1.330624765e-10
C00004145,0.07651644736045059,0.3147033206494325,449634.46423249936,3530972.0,0.4,3530972.0,1412388.8,1200530.48,85025.73538289522,52964.579999999994,1062540.1646171047
C00036959,0.04851942308059594,0.32921105776855025,219155.49608971545,1315792.0,0.4,1315792.0,526316.8,447369.28,21017.317451438874,19736.88,406615.08254856116
C00043107,0.04070828165309867,0.3198444517316458,167307.12430046062,1209123.0,0.4,1209123.0,483649.2,411101.82,15743.165992880999,18136.844999999998,377221.80900711904
C00038696,0.0008317409181698223,0.33559879657723896,307602.25674329046,1874750.0,0.4,1874750.0,749900.0,637415.0,523.3013131906498,28121.25,608770.4486868094
C00006189,0.6152693145063053,0.322932772729083,424177.1368801754,3451306.0,0.1,0.0,1.5485395e-10,1.316258575e-10,0.0,0.0,1.316258575e-10
C00001415,0.04237506424983079,0.32327462533977724,313263.29539172293,2095868.0,0.4,2095868.0,838347.2,712595.12,28710.840968702407,31438.02,652446.2590312975
C00018472,0.12689017378231934,0.3391639824906752,219064.129951208,1339322.0,0.4,1339322.0,535728.8,455369.48000000004,57639.83395079836,20089.829999999998,377639.81604920165
C00029283,0.030979602303532826,0.3089980690574266,410979.73828278313,2724077.0,0.4,2724077.0,1089630.8,926186.18,26076.60107636684,40861.155,859248.4239236332
C00015178,0.028512220620128426,0.3287220977149177,238946.18125733337,1459610.0,0.4,1459610.0,583844.0,496267.39999999997,13680.33626740898,21894.149999999998,460692.91373259097
C00034305,0.8304920750784908,0.32725451178013515,899412.0340153517,4839872.0,0.1,0.0,1.5397685e-10,1.308803225e-10,0.0,0.0,1.308803225e-10
C00012610,0.9922169095313313,0.3298010333203394,729835.8529522769,5000000.0,0.1,0.0,1.4747661e-10,1.253551185e-10,0.0,0.0,1.253551185e-10
C00012145,0.17795667196371456,0.33196268379239674,404732.2899431157,2497841.0,0.4,2497841.0,999136.4,849265.94,147559.89318981356,37467.615,664238.4318101864
C00006114,0.7779619321002974,0.33902637929348917,817585.9625795606,4482635.0,0.1,0.0,1.5398199e-10,1.308846915e-10,0.0,0.0,1.308846915e-10
C00015909,0.13406692521223296,0.3275775836585271,421290.6586617292,2686851.0,0.4,2686851.0,1074740.4,913529.3399999999,117999.29357287352,40302.765,755227.2814271263
C00000822,0.7818851390269517,0.33604249871883,547784.9935932743,2836006.0,0.1,0.0,1.371254e-10,1.1655659e-10,0.0,0.0,1.1655659e-10
C00015119,0.1837410288012121,0.3427041921550774,140789.05270762113,790321.0,0.4,790321.0,316128.4,268709.14,49765.58145592912,11854.814999999999,207088.7435440709
C00013467,0.061626682831609346,0.3283290266922109,457959.5056125664,2669643.0,0.4,2669643.0,1067857.2,907678.6199999999,54017.09939875405,40044.645,813616.8756012458
C00026498,0.8075069715765463,0.3333317234407993,650681.1139227598,4087020.0,0.1,0.0,1.488227e-10,1.26499295e-10,0.0,0.0,1.26499295e-10
C00042112,0.38135210325366176,0.346418791794418,542627.5094624987,3120810.0,0.4,3120810.0,1248324.0,1061075.4,412282.5158583026,46812.15,601980.7341416973
C00030189,0.4815465643110022,0.33693408096881233,446743.4152616871,2589692.0,0.1,0.0,1.5592212e-10,1.32533802e-10,0.0,0.0,1.32533802e-10
C00037238,0.006238410168830579,0.3143148998033162,309898.4700957227,2350997.0,0.4,2350997.0,940398.8,799338.98,4609.894320589081,35264.955,759464.130679411
C00033110,0.05321536763539789,0.3257592829641477,265652.3653107647,1489686.0,0.4,1489686.0,595874.4,506493.24,25824.30268973416,22345.29,458323.64731026586
