id_cliente,segmento,r_opt,e_opt,y_opt,ingreso_opt,el_opt,cost_opt,utilidad_opt
C00000001,MASS_AFFLUENT,0.1,0.0,0.0,0.0,0.0,7339.644238054343,-7339.644238054343
C00000002,MASS,0.6,1454916.0,872949.6,872949.6,21934.41473919221,4273.817924844355,846741.3673359634
C00000003,AFFLUENT,0.1,0.0,0.0,0.0,0.0,12152.103537991414,-12152.103537991414
C00000004,MASS_AFFLUENT,0.1,0.0,0.0,0.0,0.0,4846.4446155657415,-4846.4446155657415
C00000005,MASS,0.6,1417401.0,850440.6,850440.6,16613.872221080648,3994.537612273857,829832.1901666455
C00000006,PYME,0.1,0.0,0.0,0.0,0.0,11743.170173837145,-11743.170173837145
C00000007,MASS_AFFLUENT,0.1,0.0,0.0,0.0,0.0,13458.052558254956,-13458.052558254956
C00000008,MASS_AFFLUENT,0.1,0.0,0.0,0.0,0.0,11647.862340348209,-11647.862340348209
C00000009,MASS,0.6,1585073.0,951043.8,951043.8,756.1364412932807,4047.065713603237,946240.5978451036
C00000010,MASS,0.1,0.0,0.0,0.0,0.0,4563.390019198996,-4563.390019198996
C00000011,MASS,0.6,3306525.0,1983915.0,1983915.0,24403.74712318217,7573.597067183284,1951937.6558096344
C00000012,PYME,0.1,0.0,0.0,0.0,0.0,11734.527365528063,-11734.527365528063
C00000013,MASS_AFFLUENT,0.1,0.0,0.0,0.0,0.0,4412.859847798651,-4412.859847798651
C00000014,AFFLUENT,0.1,0.0,0.0,0.0,0.0,11968.787566535191,-11968.787566535191
C00000015,MASS,0.6,1740464.0,1044278.4,1044278.4,8546.636411242638,4344.893192555797,1031386.8703962016
C00000016,MASS,0.6,1602856.0,961713.6,961713.6,15942.476615090956,4052.718790434582,941718.4045944744
C00000017,MASS_AFFLUENT,0.1,0.0,0.0,0.0,0.0,15120.655615210477,-15120.655615210477
C00000018,MASS,0.6,1301359.0,780815.4,780815.4,1850.695753678356,3291.788649711604,775672.91559661
C00000019,AFFLUENT,0.1,0.0,0.0,0.0,0.0,14016.992702410143,-14016.992702410143
C00000020,MASS_AFFLUENT,0.1,0.0,0.0,0.0,0.0,9813.402088819088,-9813.402088819088
C00000021,MASS_AFFLUENT,0.1,0.0,0.0,0.0,0.0,12934.465567979392,-12934.465567979392
C00000022,MASS,0.1,0.0,0.0,0.0,0.0,2082.177552317818,-2082.177552317818
C00000023,PYME,0.1,0.0,0.0,0.0,0.0,5807.029223256172,-5807.029223256172
C00000024,AFFLUENT,0.1,0.0,0.0,0.0,0.0,15088.361519611575,-15088.361519611575
C00000025,MASS_AFFLUENT,0.1,0.0,0.0,0.0,0.0,7839.674570547104,-7839.674570547104
C00000026,MASS,0.1,0.0,0.0,0.0,0.0,4457.894130937829,-4457.894130937829
C00000027,MASS,0.1,0.0,0.0,0.0,0.0,5920.6336390062415,-5920.6336390062415
C00000028,MASS,0.1,0.0,0.0,0.0,0.0,4350.899194367596,-4350.899194367596
C00000029,MASS,0.1,0.0,0.0,0.0,0.0,2670.8392066491665,-2670.8392066491665
C00000030,MASS_AFFLUENT,0.1,0.0,0.0,0.0,0.0,4110.335842965024,-4110.335842965024
C00000031,MASS_AFFLUENT,0.1,0.0,0.0,0.0,0.0,11976.916979979662,-11976.916979979662
C00000032,PYME,0.1,0.0,0.0,0.0,0.0,2076.168033327298,-2076.168033327298
C00000033,MASS,0.6,1450492.0,870295.2,870295.2,5388.760944985414,3984.78547966147,860921.6535753531
C00000034,MASS,0.6,1282735.0,769641.0,769641.0,5916.02492688244,2653.4768767747187,761071.4981963428
C00000035,MASS,0.1,0.0,0.0,0.0,0.0,4697.875878134476,-4697.875878134476
C00000036,MASS,0.6,2364238.0,1418542.8,1418542.8,20520.48114825946,6953.246201292654,1391069.072650448
C00000037,MASS,0.6,2532715.0,1519629.0,1519629.0,31269.93593521286,6428.130470655865,1481930.9335941314
C00000038,MASS,0.1,0.0,0.0,0.0,0.0,6457.441971831478,-6457.441971831478
C00000039,MASS,0.1,0.0,0.0,0.0,0.0,8277.540126573143,-8277.540126573143
C00000040,MASS_AFFLUENT,0.1,0.0,0.0,0.0,0.0,9893.71124983109,-9893.71124983109
C00000041,MASS,0.1,0.0,0.0,0.0,0.0,6303.68904751095,-6303.68904751095
C00000042,AFFLUENT,0.1,0.0,0.0,0.0,0.0,12501.716063663687,-12501.716063663687
C00000043,MASS_AFFLUENT,0.1,0.0,0.0,0.0,0.0,4529.050322197842,-4529.050322197842
C00000044,MASS,0.1,0.0,0.0,0.0,0.0,7921.767779703791,-7921.767779703791
C00000045,AFFLUENT,0.1,0.0,0.0,0.0,0.0,10600.320877806107,-10600.320877806107
C00000046,AFFLUENT,0.1,0.0,0.0,0.0,0.0,15022.57513736764,-15022.57513736764
C00000047,MASS,0.1,0.0,0.0,0.0,0.0,1757.527784950999,-1757.527784950999
C00000048,MASS,0.1,0.0,0.0,0.0,0.0,6305.166491686055,-6305.166491686055
