id_cliente,pd_score_train,pd_score_test,default_12m
C00000001,,0.2402457772660218,1
C00000002,0.10322922144316209,,0
C00000003,0.9946468893505672,,1
C00000004,0.19702153133914346,,1
C00000005,,0.06302434395210227,0
C00000006,0.6301037869679734,,1
C00000007,0.7190958395517875,,1
C00000008,0.691588884784453,,1
C00000009,0.013350530770748175,,0
C00000010,0.12742054999006172,,0
C00000011,0.12727876882968228,,0
C00000012,,0.9752771866334488,1
C00000013,0.14171321615696686,,0
C00000014,0.9727883098765426,,1
C00000015,0.04284010799798651,,0
C00000016,0.09310324889792743,,0
C00000017,0.8364673952814901,,0
C00000018,,0.0206926486308392,0
C00000019,0.8941431228304423,,1
C00000020,0.7825067125719274,,0
C00000021,0.9600236570807474,,1
C00000022,,0.04974165700241657,0
C00000023,,0.5797069302490023,1
C00000024,0.999071283041868,,1
C00000025,0.14742536776608253,,1
C00000026,0.08005431211380035,,0
C00000027,,0.2417729440857786,0
C00000028,0.043698327860217746,,0
C00000029,0.101341246661991,,0
C00000030,0.11620610952631735,,1
C00000031,0.6602510168364104,,1
C00000032,,0.04976731155577984,1
C00000033,,0.041600538106269874,0
C00000034,0.04093706618444578,,0
C00000035,,0.10006112060589754,0
C00000036,0.1565811866472977,,0
C00000037,0.09341870688923684,,0
C00000038,0.13069797515485732,,0
C00000039,0.17284983691188058,,0
C00000040,0.42436755546355054,,1
C00000041,0.14434625635887816,,0
C00000042,,0.9990822875171058,1
C00000043,,0.1601736416110911,1
C00000044,,0.15576448127634096,0
C00000045,0.9796986178845302,,1
C00000046,0.9898857048647858,,1
C00000047,,0.025337422816963263,0
C00000048,0.06870091613723635,,0
C00000049,0.49654441885987133,,1
C00000050,0.034190662368838255,,0
C00000051,0.36138547363337864,,0
C00000052,0.027223461923926932,,0
C00000053,0.9824017058614382,,1
C00000054,0.20840641011193947,,1
C00000055,0.7730464707172273,,1
C00000056,,0.5009715196355926,1
C00000057,0.14488042693967948,,0
C00000058,0.9047856213183778,,0
C00000059,0.1030755638932285,,0
C00000060,0.0988532956110606,,0
