id_cliente,pd_score_lgbm,default_12m
C00045798,0.8508006242846312,0
C00017190,0.018599580195125098,0
C00030888,0.03354110181824445,0
C00027091,0.477334789577431,1
C00019987,0.38242381446382606,1
C00035457,0.022538836251766132,0
C00021159,0.990086421986965,1
C00023807,0.7683179625505472,1
C00045086,0.37468166330199315,0
C00016110,0.8821278593352088,1
C00041467,0.022585474938696438,0
C00029542,0.030558244022330566,0
C00044596,0.043442506650031916,0
C00032537,0.9997870609663688,1
C00024787,0.051280102470564255,0
C00002329,0.6143506185265614,0
C00043453,0.0009922333310675227,0
C00019964,0.7094524587223183,1
C00047625,0.0487468912086417,0
C00029155,0.02693676601024315,0
C00044365,0.9804961120661027,1
C00008134,0.9273405764022292,1
C00033322,0.020593100634886327,0
C00022006,0.05437520989058544,0
C00027838,0.07280684044524423,1
C00039281,0.5227314642881683,1
C00038957,0.03464231863538249,0
C00048056,0.7899401373836359,0
C00036726,0.04120298556565342,0
C00012370,0.2480350040612611,0
C00000542,0.6590984279298313,0
C00035885,0.8862932331341986,1
C00049290,0.0530789180431681,0
C00038420,0.030532688596431382,0
C00047879,0.5979380756420865,1
C00008422,0.9533563871201123,1
C00013523,0.10143896134375366,0
C00032386,0.0453859541987079,0
C00016526,0.5503982238036478,0
C00034581,0.015584328571979732,0
C00016421,0.21425479137909345,1
C00047068,0.03651450489478398,0
C00047633,0.08162387272934953,0
C00024196,0.5421364000881185,1
C00001530,0.03887756326639029,0
C00020484,0.10717041460160047,0
C00041475,0.4092563930286175,0
C00005333,0.2632909902431009,0
C00046523,0.17344987077696875,0
C00045842,0.999571055329849,1
C00032249,0.36847883579415924,1
C00047809,0.5883353609496819,0
C00015812,0.7469753256471053,0
C00034165,0.8781242498722208,1
C00005526,0.32025677581861867,1
C00026632,0.08972655873430833,0
C00006327,0.9993211327469402,1
C00046304,0.029812470468655802,0
C00021237,0.014754212775146075,0
C00032057,0.06883690848366868,0
C00038556,0.01413563742119869,0
C00021209,0.07821357880481848,1
C00041428,0.005943610984346029,0
C00045246,0.999819293108248,1
C00024818,0.01568606928042326,0
C00004726,0.06817571001211027,0
C00025636,0.5200088775292622,1
C00037134,0.7270867803262421,0
C00016565,0.9271903572094863,1
C00011279,0.014419610000333826,0
C00040211,0.027269689083573898,0
C00019228,0.20805524947136872,0
C00040106,0.026556820765956623,0
C00003551,0.9995012478239419,1
C00000972,0.018312722984707007,0
C00049092,0.5305610545217615,0
C00021451,0.0012578151327724983,0
C00039511,0.9768450958801317,1
C00049371,0.05466581927432905,0
C00049666,0.7434415104658537,0
C00000400,0.10864365368465559,0
C00017166,0.6657622043840566,1
C00019177,0.45003697833760825,1
C00012018,0.5317399287749008,1
C00007673,0.5936755064630683,1
C00032748,0.13657077041749108,0
C00035584,0.6700512528696021,1
C00020534,0.19965278235713352,0
C00028795,0.007644393730206612,0
C00001197,0.035643398931833006,0
C00035335,0.02856301806443187,0
C00012378,0.999880064103915,1
C00018386,0.1215376262017617,0
C00032807,0.9741699179988866,1
C00028762,0.7243243461463593,0
C00037995,0.6869061329183302,0
C00002483,0.0774094194285897,0
C00000312,0.2143369831253822,0
C00001094,0.04251229632510679,0
C00043443,0.022678016418438533,0
C00014200,0.6776268987641718,0
C00046425,0.07035792351580902,0
C00037709,0.999704329903372,1
C00009584,0.7672606589925587,1
C00011124,0.020449463146096893,0
C00042871,0.0657508110568705,0
C00020464,0.3537871780939181,0
C00000689,0.636817881475686,1
C00042726,0.09427835329024059,0
C00043102,0.0010012902909093617,0
C00043006,0.0005593579089268264,0
C00023504,0.01988602466096142,0
C00008901,0.053395587548187684,0
C00008695,0.7566319993682696,1
C00036369,0.9995108254461033,1
C00038066,0.9856107977071635,1
C00016156,0.999813820032658,1
C00035668,0.6604350320565238,0
C00045713,0.45505910674875955,1
C00033642,0.0549466456684191,0
C00026908,0.12602377704064,0
C00046823,0.0005652134412903421,0
C00003003,0.09805160738251124,0
C00013731,0.5357792523923518,0
C00026434,0.9969642357751669,1
C00028900,0.10472878879727099,1
C00036637,0.7434157617969095,1
C00037359,0.02931904885839374,0
C00040310,0.660458231880787,1
C00001149,0.17146841946738398,0
C00021290,0.503789923031121,0
C00035278,0.06880631095337696,0
C00041554,0.4700456929713724,1
C00046281,0.19107638672487062,0
C00049338,0.2925783437718345,0
C00039220,0.06213032643409474,0
C00043422,0.515785223257876,0
C00048292,0.05551979578495936,0
C00008136,0.059070239431230784,0
C00015955,0.02894739566161372,0
C00014545,0.0007799081111191809,0
C00032171,0.02630344035782932,0
C00047490,0.039599535846373865,0
C00005021,0.1385425667502702,1
C00009819,0.2097553257425818,0
C00025319,0.999432958670675,1
C00038232,0.5280381451202548,0
C00048426,0.02245455519365764,0
C00008309,0.013959362566913689,0
C00024208,0.29710557197129117,1
C00026661,0.0224190940322004,0
C00013488,0.13396674167801934,0
C00047336,0.9994029923162289,1
C00001430,0.08238931072374568,0
C00031970,0.013424315552773984,0
C00020570,0.9994678166558616,1
C00039861,0.034386494664896176,0
C00015223,0.8806665020466439,1
C00002302,0.7716621227808257,1
C00001036,0.6284162603901372,0
C00020372,0.04587276920891784,0
C00005402,0.00109768778458423,0
C00007742,0.03644982057208229,0
C00031249,0.6486576857999032,0
C00040249,0.020903881979938147,0
C00028840,0.7132652554855212,1
C00045624,0.05995787712963863,0
C00043435,0.3325162152653715,0
C00004647,0.8684451115471348,1
C00019660,0.060702197677030806,0
C00020362,0.08034947889338565,0
C00027393,0.0007206667128772666,0
C00011558,0.740026662961505,1
C00010337,0.6382823657254281,0
C00041827,0.2555534547217438,0
C00027119,0.576085784062968,1
C00015289,0.5470426408113495,1
C00032079,0.0008446064309833055,0
C00044268,0.5377635834490205,0
C00010860,0.1007413545591197,0
C00018584,0.9367524809743888,1
C00017183,0.242961820136758,1
C00019118,0.038637981506912,0
C00021456,0.9995621576005512,1
C00017548,0.6969223422640629,1
C00029359,0.5376840853416528,1
C00049160,0.3545711667669124,1
C00013679,0.029225673148264512,0
C00038890,0.9968244612866275,1
C00034776,0.9069133962099217,1
C00028864,0.12243212390041433,1
C00034286,0.9834967706461687,1
C00000448,0.44260377271352075,0
C00041886,0.7939918946257862,1
C00034211,0.07225494667266474,0
C00002727,0.7023773445119497,1
C00010289,0.00813361383550953,0
C00001812,0.035004409355110684,0
C00041209,0.21372212199039253,0
C00042684,0.5916261346605013,1
C00040402,0.09152227545587184,0
C00046927,0.06227779091460023,0
C00014043,0.6364682998565948,1
C00046333,0.999847805619603,1
C00037204,0.5428163169490976,0
C00040667,0.9975105970563735,1
C00047690,0.0009900086185690596,0
C00019554,0.07775748603128313,0
C00033670,0.6334444473443892,1
C00014717,0.028578536094500385,0
C00023976,0.1892891220932687,0
C00027933,0.5358647582379403,0
C00043839,0.012557284722002699,0
C00005563,0.1375142945173486,0
C00002498,0.018340539528796954,0
C00037014,0.6350874384329926,1
C00016728,0.2599295973766601,0
C00004195,0.042313243768548524,0
C00006433,0.07771664611826215,0
C00014915,0.06001219875611889,0
C00026522,0.7832081031782874,1
C00043952,0.02067237981977267,0
C00047821,0.0008284181325655561,0
C00043334,0.000849412357444871,0
C00045835,0.13209505242784028,0
C00004200,0.08230057707382503,0
C00037506,0.5670642054733832,1
C00026252,0.0006326028273244631,0
C00001920,0.9996472198991657,1
C00041310,0.02153213444551361,0
C00025256,0.037260230793528144,0
C00043483,0.6630346511080673,1
C00010245,0.017756848511992274,0
C00042902,0.32285448002688766,0
C00025195,0.7784050850527666,1
C00028234,0.999636843687098,1
C00004771,0.7340085155854756,0
C00025912,0.09342596022389203,0
C00013133,0.03464892753651871,0
C00045344,0.07140793881078819,1
C00040234,0.04189641358650904,0
C00039272,0.24466130210378503,0
C00005258,0.051049432656216545,0
C00036857,0.4042123995492618,1
C00023894,0.11199699839494559,0
C00006972,0.09149397126015642,0
C00021576,0.06952789953316399,0
C00039449,0.636975303544163,0
C00043616,0.02037057635746108,0
C00028441,0.6448596989749371,1
C00024586,0.6192139284491885,1
C00045748,0.9993252022197844,1
C00024661,0.023058508749948088,0
C00020026,0.1401677224686424,0
C00011932,0.7521661534362231,0
C00029609,0.5652918317313491,1
C00018473,0.6733389874835108,1
C00049836,0.7497743985292823,1
C00045912,0.36193589146901084,1
C00014233,0.6659986393480283,1
C00041412,0.07549234019148705,0
C00022439,0.01937759762028355,0
C00011837,0.02043600235169349,0
C00017146,0.8093112043700833,1
C00013624,0.9812442001672984,1
C00000244,0.0005391057158018404,0
C00012694,0.023735926340326466,0
C00017508,0.013558913962381795,0
C00000360,0.10613471393860086,0
C00023738,0.07107702726381206,0
C00006004,0.058950144578616,0
C00010412,0.1709072713219669,0
C00040958,0.3238615522267612,1
C00007704,0.7021104404258063,0
C00038188,0.10543621915546039,0
C00005936,0.21560434181782537,0
C00037421,0.07667766076304502,0
C00036428,0.23903255783729285,0
C00015461,0.6590060859969528,1
C00034796,0.09991598843375715,0
C00000832,0.010304389156057032,0
C00011789,0.4981437958826354,1
C00031125,0.44772174247255664,0
C00048770,0.03931840712708606,0
C00049874,0.9996851737107993,1
C00029333,0.0715686146415968,0
C00049091,0.7577894638727124,1
C00038394,0.013793254454995862,0
C00021838,0.9996075018409951,1
C00036744,0.4000498201333006,0
C00026106,0.9996073274169538,1
C00046635,0.10521765569555791,0
C00000285,0.6599697821698327,0
C00001831,0.043239958286494344,0
C00018953,0.07893318776084038,1
C00036809,0.0016083635190001625,0
C00046621,0.7867676267899801,0
C00003383,0.7299787357857694,1
C00018691,0.017347677246517437,0
C00035046,0.6199788772819088,1
C00023521,0.6732783329725525,0
C00027719,0.2798448490195033,0
C00008051,0.07828827074230317,0
C00000260,0.2508465319102394,0
C00031188,0.001133642666146049,0
C00011893,0.6024189952518104,0
C00030962,0.10993058003897055,0
C00000096,0.7943571298793308,0
C00029750,0.9699865901261787,1
C00035039,0.07537461047534606,0
C00001695,0.8778070553201491,1
C00027696,0.8966225377160089,1
C00044909,0.04613018449115382,0
C00032654,0.6869652846382512,0
C00017733,0.5935111906885202,1
C00019153,0.036303509495452566,0
C00014383,0.15091186587637143,1
C00001927,0.04318566835368319,0
C00023562,0.9986283282649178,1
C00000809,0.04112216255189583,0
C00020078,0.6098196896872903,0
C00013445,0.05802823065125344,0
C00017806,0.9921204248208362,1
C00016253,0.11150812805511735,0
C00034066,0.026695471986910076,0
C00023802,0.018816007355814433,0
C00029858,0.12734189116515462,0
C00028403,0.25089184263443887,1
C00012280,0.30320742074450746,1
C00002561,0.7179402403447827,0
C00037965,0.01936266024888493,0
C00027605,0.6568914998981353,1
C00024801,0.05888328835816169,0
C00026958,0.4482800131784182,0
C00029861,0.05032511091396841,0
C00006412,0.7089293386644465,1
C00007524,0.0008562378807582434,0
C00047300,0.02324282400429039,0
C00007407,0.6727277161322774,1
C00018899,0.6054582458977366,1
C00027471,0.16653048435982445,0
C00039258,0.999573360439046,1
C00026214,0.23165736584800325,0
C00036215,0.8049994224705159,1
C00007019,0.20156555554908506,0
C00005671,0.7080353972125177,0
C00018400,0.055468146760505016,0
C00046366,0.036640591857023695,0
C00040665,0.6833351416257493,1
C00049069,0.7788163001429874,1
C00027868,0.9999528818251365,1
C00028210,0.7135669341696826,1
C00038352,0.019906658442392092,0
C00014211,0.4939186734541997,1
C00012532,0.4781058190873132,0
C00037904,0.6033123746655452,1
C00036011,0.2814617365929466,0
C00008941,0.03355452353515219,0
C00035591,0.9997489491248638,1
C00009626,0.645365606223958,1
C00029970,0.0030906527262930493,0
C00038549,0.015989657130376495,0
C00025832,0.4497134646772706,1
C00024674,0.9995302910092376,1
C00026567,0.33807498796642826,0
C00031165,0.04405306996808691,0
C00026341,0.9997751158187489,1
C00012579,0.04776126071811061,0
C00024398,0.0416258615055411,0
C00049065,0.13046492291588674,1
C00036055,0.8198306355228133,0
C00033070,0.354516572223234,0
C00024670,0.07014252699705378,0
C00042207,0.0007482580738455559,0
C00040598,0.9996685720088335,1
C00026528,0.8403187118878863,1
C00025041,0.11422355523238718,0
C00009621,0.2906581272081467,0
C00017167,0.019478431465963907,0
C00013785,0.8776872230225661,1
C00043059,0.20154455280609107,1
C00024726,0.12554784622716542,0
C00043688,0.07077168720628586,0
C00011036,0.9995869336705648,1
C00000600,0.6334014352636337,0
C00037585,0.34332814592329264,0
C00044096,0.04149186453345747,0
C00006742,0.01840073629449669,0
C00025461,0.0508306670643442,0
C00006046,0.12599438076523456,0
C00006730,0.7918616428154278,0
C00010812,0.4823387913492316,0
C00009430,0.9999474552698564,1
C00023659,0.06868685705328141,0
C00024696,0.14449813125924893,0
C00004474,0.044152412568693365,0
C00020371,0.03705514358245454,1
C00045743,0.17674268260523715,0
C00004156,0.056144029130742505,0
C00040242,0.34562937028009927,1
C00023747,0.0382817874481012,0
C00011962,0.03704529182181072,0
C00004571,0.08110922560418309,0
C00023577,0.0011754026986769443,0
C00031450,0.25214712968646763,1
C00044086,0.7118085846453313,1
C00028168,0.10070058363475484,0
C00008250,0.0071544275737954015,0
C00000192,0.1038070131414103,0
C00007097,0.013794372239951414,0
C00048813,0.06145461290559758,0
C00026298,0.10916197683161966,0
C00037833,0.11666911454927661,0
C00011525,0.9997086735144717,1
C00032315,0.09120983506041386,0
C00037917,0.5612309063210768,1
C00016856,0.020188686330343195,0
C00013129,0.5571299320792842,0
C00036773,0.7213950166040395,1
C00000288,0.03632051363293893,0
C00027355,0.45662806598424804,1
C00012290,0.10986913095701199,0
C00008190,0.9640784282489553,1
C00019993,0.5075156196458015,1
C00027197,0.0006892807098496825,0
C00016931,0.9997585016250927,1
C00003641,0.39225002574738815,0
C00026167,0.7645359213079677,1
C00007809,0.07177877316119183,1
C00049177,0.7066653720659754,1
C00019879,0.054587029814201625,0
C00025609,0.6711694003477168,1
C00021715,0.9061877540882325,1
C00002954,0.6856128769787347,1
C00025814,0.576407931196253,1
C00030271,0.1161812751901814,0
C00027524,0.05340902368108842,0
C00003677,0.04313101761515934,0
C00025061,0.9026516199988478,1
C00048302,0.9747582112627675,1
C00034802,0.11454962646434846,0
C00041868,0.016802139387633197,0
C00048888,0.06295624955216553,1
C00006948,0.6300574602255028,1
C00016145,0.622922553244239,1
C00029632,0.41521525727035014,0
C00046482,0.9748400778931398,1
C00029570,0.5805462323062446,0
C00000598,0.5385103957141872,0
C00042297,0.03044446785915298,0
C00041159,0.7802351647978761,0
C00031445,0.048656415017635395,0
C00031147,0.9454336859215045,1
C00035396,0.018128431575158192,0
C00046947,0.8280701227514266,1
C00001795,0.7140882644271719,1
C00016126,0.7257306436730058,1
C00015155,0.18716374498882943,0
C00018034,0.9997526734020934,1
C00016678,0.06340490501267011,0
C00001901,0.7195681604557175,0
C00029794,0.4693925162943253,1
C00045715,0.6255320171044766,1
C00009991,0.030751898562382803,0
C00049308,0.01231635944615859,0
C00039758,0.034679267492649116,0
C00028919,0.7709674551376492,1
C00001879,0.25455290757457294,0
C00043712,0.20510954690858188,0
C00002006,0.945945855683997,1
C00044800,0.668704670659595,1
C00004723,0.0792932910012509,0
C00000120,0.3110938847099629,0
C00009548,0.5625788608217687,1
C00008599,0.07208307095654938,0
C00000840,0.05766883430976522,0
C00022061,0.001046316682716372,0
C00036581,0.03678719634924779,0
C00036736,0.7392639634081287,0
C00038598,0.798478358514488,0
C00027397,0.954490168241564,1
C00035572,0.6321275207424746,1
C00024368,0.2679832690606336,1
C00045283,0.046207787544710485,0
C00030868,0.0009545099507599107,0
C00008128,0.8210704300384967,1
C00007031,0.05031772304399787,0
C00038690,0.21814365659117252,0
C00017590,0.07498757843720899,0
C00042573,0.7063548001422761,1
C00019823,0.08181979439293129,0
C00045546,0.9733852690064916,1
C00049506,0.023130607068519687,0
C00000719,0.019289509061386215,1
C00010948,0.999516336853758,1
C00029821,0.25878724833272576,0
C00043333,0.8401710835599345,1
C00008327,0.5439418186310736,1
C00006877,0.02425586225265863,0
C00017311,0.7214201087808393,1
C00030754,0.023205105010916837,0
C00028353,0.04980332887830162,0
C00033821,0.6975341689090853,0
C00001098,0.9996359962227467,1
C00028662,0.6168778829980951,1
C00035475,0.07716772246185857,0
C00048763,0.019939052395396065,0
C00046993,0.21455790153336032,0
C00014828,0.04232547395664268,0
C00003952,0.7375746909376656,1
C00030955,0.0038465255573600205,0
C00023434,0.018810022549517347,0
C00012008,0.999759023995831,1
C00046128,0.8506388928375096,1
C00007144,0.06660008215701739,0
C00020575,0.04160507500203975,0
C00042730,0.02037077277292768,0
C00013945,0.019188901669588865,0
C00032920,0.09725771640823357,1
C00019157,0.2743879102503969,1
C00000749,0.7093629682253876,1
C00039147,0.04819635665592121,0
C00032207,0.000649720480361171,0
C00011385,0.022303819100351084,0
C00040955,0.7968092356562775,0
C00024996,0.01918578938782991,0
C00026479,0.3943411817033321,1
C00002997,0.9749373085842971,1
C00035035,0.944334145472867,1
C00019337,0.33515162671615806,1
C00043518,0.19180871761974022,0
